group,method,display_method,scope,comparable,query_id,category,category_label,split,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10,gold_count,retrieved_gold_count
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_65,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_66,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_67,4,Single-Hop,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_68,4,Single-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_69,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_70,4,Single-Hop,test,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_71,4,Single-Hop,test,0.2,0.0,1.0,1.0,1.0,0.38685280723454163,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_72,4,Single-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_73,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_74,4,Single-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_75,4,Single-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_76,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_77,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_78,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_80,4,Single-Hop,test,0.1,0.0,0.0,1.0,1.0,0.2890648263178879,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-30_qa_81,4,Single-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_0,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_1,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_2,1,Multi-Hop,test,0.25,0.0,1.0,1.0,1.0,0.46845052016107697,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_3,1,Multi-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_4,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_5,2,Temporal,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_6,1,Multi-Hop,test,0.2,0.0,1.0,1.0,0.25,0.15101961822780524,4.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_7,1,Multi-Hop,test,0.14285714285714285,0.0,0.0,1.0,0.5,0.20438239758848611,2.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_8,3,Open-Domain,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_9,1,Multi-Hop,test,1.0,1.0,1.0,1.0,0.5,0.6131471927654584,2.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_10,2,Temporal,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_11,1,Multi-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_12,1,Multi-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_13,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_14,3,Open-Domain,test,0.1111111111111111,0.0,0.0,1.0,0.5,0.18457569677956817,2.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_15,1,Multi-Hop,test,0.5,0.0,1.0,1.0,1.0,0.6934264036172708,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_16,2,Temporal,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_17,3,Open-Domain,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_18,1,Multi-Hop,test,0.5,0.0,1.0,1.0,1.0,0.6934264036172708,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_19,1,Multi-Hop,test,1.0,1.0,1.0,1.0,0.5,0.6131471927654584,2.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_20,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,0.8315546295836225,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_21,1,Multi-Hop,test,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_22,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_23,1,Multi-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_24,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_25,1,Multi-Hop,test,1.0,1.0,1.0,1.0,1.0,0.7903864795495061,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_26,1,Multi-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_27,2,Temporal,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_28,1,Multi-Hop,test,0.3333333333333333,0.0,1.0,1.0,0.5,0.34620964322385606,4.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_29,1,Multi-Hop,test,1.0,1.0,1.0,1.0,0.5,0.6131471927654584,2.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_30,1,Multi-Hop,test,0.125,0.0,0.0,1.0,0.3333333333333333,0.1480409554829326,3.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_31,2,Temporal,test,0.25,0.0,1.0,1.0,1.0,0.43067655807339306,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_32,1,Multi-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_33,1,Multi-Hop,test,0.5,0.0,1.0,1.0,1.0,0.7122630665145961,3.0,3.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_34,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_35,1,Multi-Hop,test,0.3333333333333333,0.0,1.0,1.0,0.5,0.3065735963827292,2.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_36,1,Multi-Hop,test,1.0,1.0,1.0,1.0,1.0,0.8175295903539445,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_37,1,Multi-Hop,test,1.0,1.0,1.0,1.0,0.4,0.5087403079104241,5.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_38,2,Temporal,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_39,3,Open-Domain,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_40,1,Multi-Hop,test,0.1111111111111111,0.0,0.0,1.0,0.5,0.18457569677956817,2.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_41,3,Open-Domain,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_42,1,Multi-Hop,test,1.0,1.0,1.0,1.0,1.0,0.8503449055347546,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_43,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_44,1,Multi-Hop,test,1.0,1.0,1.0,1.0,0.6666666666666666,0.7039180890341347,3.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_45,3,Open-Domain,test,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_46,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_47,1,Multi-Hop,test,1.0,1.0,1.0,1.0,0.5,0.5855700749881525,4.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_48,2,Temporal,test,0.2,0.0,1.0,1.0,1.0,0.38685280723454163,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_49,1,Multi-Hop,test,0.5,0.0,1.0,1.0,0.5,0.38685280723454163,2.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_50,3,Open-Domain,test,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_51,2,Temporal,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_52,1,Multi-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_53,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_54,2,Temporal,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_55,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_56,2,Temporal,test,1.0,1.0,1.0,1.0,0.5,0.6131471927654584,2.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_57,1,Multi-Hop,test,0.5,0.0,1.0,1.0,1.0,0.7036997876179215,4.0,4.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_58,2,Temporal,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_59,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_60,1,Multi-Hop,test,0.5,0.0,1.0,1.0,1.0,0.6934264036172708,2.0,2.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_61,2,Temporal,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_62,1,Multi-Hop,test,0.5,0.0,1.0,1.0,0.5,0.38685280723454163,2.0,1.0
