backend,backlog_at_stop,backlog_at_restart,maximum_backlog,backlog_peak_at,backlog_peak_phase,processed_rate_after_restart,input_rate_after_restart,first_backlog_decrease_at,backlog_zero_at
cassandra,2235,5235,8445,179.0,recovery_with_input,N/A,100,,
neo4j,104,3004,3372,172.0,recovery_with_input,N/A,100,92.0,
