backend,phase,n,p50_ms,p95_ms,p99_ms,mean_ms
neo4j,stable_before_outage,5998,557.02995,1186.777885,1298.8548119999991,558.5444966822274
neo4j,outage,3002,31111.26625,31812.760765000003,31913.730574,31157.290456928713
neo4j,recovery_with_input,9000,32924.05025,41173.81727,42084.728012,34550.23503986667
