backend,phase,n,p50_ms,p95_ms,p99_ms,mean_ms
cassandra,stable_before_outage,6000,18259.31535,64321.924210000005,65638.9287,29738.675118066665
cassandra,outage,3000,73795.67535,80979.39114499999,81621.31834999999,73815.78146873333
cassandra,recovery_with_input,9000,103246.3924,123333.580125,125262.012408,103664.36094174444
