Method,category,n,MRR,R@10,rF1,rEM,WrongAbst
ZScore_RawERK,1,224,0.4472842261904762,0.7767857142857143,0.28214987842793604,0.07142857142857142,0.48214285714285715
ZScore_RawERK,2,239,0.63752241482367,0.8158995815899581,0.10556280075108528,0.02092050209205021,0.6861924686192469
ZScore_RawERK,3,75,0.28825925925925927,0.48,0.05305820105820106,0.02666666666666667,0.8533333333333334
ZScore_RawERK,4,612,0.5783509700176367,0.8545751633986928,0.5395863345936786,0.35947712418300654,0.27450980392156865
