method,metric,expected,actual,delta,status
ZScore_RawERK,MRR,0.5462,0.5461997929606625,-2.0703933756305304e-07,PASS
ZScore_RawERK,R@10,0.807,0.8069565217391305,-4.347826086958939e-05,PASS
