kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,neo4j-native,0,1.0,r0_measured_00271,0.0819,11.0267,12.6176,12.6995,626,0.629,0.5778,0.3038
read,neo4j-native,0,1.0,r0_measured_00741,0.1007,12.9426,15.1194,15.2201,415,0.9105,0.51,0.64
read,neo4j-native,0,1.0,r0_measured_00596,0.1469,10.6663,12.1327,12.2796,414,0.6074,0.3293,0.4518
read,neo4j-native,0,1.0,r0_measured_00129,0.1842,28.6371,31.1389,31.3231,671,1.0663,0.7816,0.5409
read,neo4j-native,0,1.0,r0_measured_00687,0.1946,32.2674,35.3533,35.5479,676,1.1258,1.1619,0.6568
read,neo4j-native,0,1.0,r0_measured_00490,0.0978,15.5627,17.1991,17.2969,671,0.6717,0.5639,0.3233
read,neo4j-native,0,1.0,r0_measured_00353,0.151,36.495,38.4886,38.6396,672,0.8141,0.7239,0.3657
read,neo4j-native,0,1.0,r0_measured_00352,0.1263,36.6957,39.54,39.6663,684,0.9695,1.1857,0.5754
read,neo4j-native,0,1.0,r0_measured_00299,0.1503,26.0038,28.3744,28.5247,567,0.8696,0.8554,0.5381
read,neo4j-native,0,1.0,r0_measured_00279,0.1572,14.0375,16.049,16.2062,660,0.7973,0.8039,0.334
read,neo4j-native,0,1.0,r0_measured_00391,0.1876,38.8025,42.1216,42.3092,673,1.0994,1.3341,0.727
read,neo4j-native,0,1.0,r0_measured_00163,0.1349,21.8555,23.7296,23.8645,626,0.7254,0.698,0.3643
read,neo4j-native,0,1.0,r0_measured_00001,0.1425,19.9624,22.0929,22.2354,671,0.8601,0.7157,0.4458
read,neo4j-native,0,1.0,r0_measured_00775,0.1032,20.3734,22.0334,22.1366,676,0.602,0.6638,0.3027
read,neo4j-native,0,1.0,r0_measured_00770,0.1613,14.3532,15.5171,15.6784,414,0.5079,0.2443,0.346
read,neo4j-native,0,1.0,r0_measured_00355,0.073,22.8442,25.0969,25.1699,563,0.9147,0.7339,0.5053
read,neo4j-native,0,1.0,r0_measured_00790,0.1111,21.6106,23.6722,23.7833,659,0.7753,0.7562,0.4364
read,neo4j-native,0,1.0,r0_measured_00771,0.1344,22.1787,24.0881,24.2225,676,0.6508,0.6933,0.4768
read,neo4j-native,0,1.0,r0_measured_00260,0.0929,18.3016,22.0521,22.145,623,1.2801,1.367,0.8948
read,neo4j-native,0,1.0,r0_measured_00747,0.1526,27.8561,31.7433,31.8959,676,1.4279,1.336,0.9349
read,neo4j-native,0,1.0,r0_measured_00682,0.1078,8.4348,9.6141,9.7219,415,0.5237,0.2758,0.3114
read,neo4j-native,0,1.0,r0_measured_00402,0.1273,19.9022,21.9172,22.0445,677,0.8086,0.6914,0.4178
read,neo4j-native,0,1.0,r0_measured_00362,0.0852,10.8625,12.3652,12.4504,565,0.5734,0.5366,0.3221
read,neo4j-native,0,1.0,r0_measured_00471,0.0574,19.9603,21.8218,21.8792,678,0.7442,0.702,0.3284
read,neo4j-native,0,1.0,r0_measured_00431,0.111,15.1819,16.7238,16.8348,675,0.548,0.5612,0.3562
read,neo4j-native,0,1.0,r0_measured_00239,0.0777,17.7791,20.0796,20.1573,659,0.8432,0.8526,0.5044
read,neo4j-native,0,1.0,r0_measured_00177,0.1546,27.9823,29.9676,30.1222,684,0.7807,0.652,0.459
read,neo4j-native,0,1.0,r0_measured_00301,0.172,31.8806,34.3788,34.5508,661,0.9162,0.9304,0.5343
read,neo4j-native,0,1.0,r0_measured_00618,0.1934,29.4877,31.89,32.0834,628,1.01,0.8908,0.4056
read,neo4j-native,0,1.0,r0_measured_00218,0.0913,8.5316,9.6716,9.7629,413,0.4912,0.2707,0.3181
read,neo4j-native,0,1.0,r0_measured_00141,0.1118,14.6409,16.4439,16.5557,675,0.7448,0.5973,0.3697
read,neo4j-native,0,1.0,r0_measured_00759,0.0796,12.2271,14.0712,14.1508,676,0.6901,0.7055,0.3648
read,neo4j-native,0,1.0,r0_measured_00631,0.1962,27.65,32.5134,32.7096,507,1.8498,1.8307,1.0059
read,neo4j-native,0,1.0,r0_measured_00419,0.1933,13.1089,14.7093,14.9026,678,0.6771,0.5245,0.3174
read,neo4j-native,0,1.0,r0_measured_00742,0.2288,34.7071,38.1585,38.3873,566,1.2564,1.3005,0.7401
read,neo4j-native,0,1.0,r0_measured_00334,0.1669,17.8678,21.2423,21.4092,627,1.2155,1.246,0.7439
read,neo4j-native,0,1.0,r0_measured_00374,0.1752,17.2888,18.8754,19.0506,676,0.6169,0.5715,0.3193
read,neo4j-native,0,1.0,r0_measured_00459,0.076,16.2209,17.6728,17.7488,676,0.5837,0.5046,0.3034
read,neo4j-native,0,1.0,r0_measured_00716,0.1863,25.744,28.2797,28.466,567,0.9783,0.9279,0.5232
read,neo4j-native,0,1.0,r0_measured_00007,0.1158,15.4062,17.6995,17.8153,416,0.7713,0.4824,0.9079
read,neo4j-native,0,1.0,r0_measured_00689,0.1539,19.495,22.091,22.2449,507,1.0151,0.8317,0.6302
read,neo4j-native,0,1.0,r0_measured_00345,0.0625,29.7005,32.8241,32.8866,675,1.1566,1.2022,0.6233
read,neo4j-native,0,1.0,r0_measured_00582,0.1369,44.6974,48.6117,48.7486,677,1.6402,1.2252,0.8028
read,neo4j-native,0,1.0,r0_measured_00040,0.0548,29.6398,31.2154,31.2702,671,0.5188,0.6711,0.3227
read,neo4j-native,0,1.0,r0_measured_00488,0.1198,24.3781,26.5379,26.6577,679,0.8659,0.7395,0.4524
read,neo4j-native,0,1.0,r0_measured_00363,0.1437,23.0421,24.9553,25.099,671,0.7522,0.6594,0.4101
read,neo4j-native,0,1.0,r0_measured_00656,0.3359,33.3822,37.415,37.7509,673,1.6056,1.3203,0.8746
read,neo4j-native,0,1.0,r0_measured_00448,0.1332,15.8133,18.8826,19.0158,506,1.2265,1.0104,0.7133
read,neo4j-native,0,1.0,r0_measured_00627,0.0796,13.1391,14.7974,14.877,688,0.6676,0.5931,0.3222
read,neo4j-native,0,1.0,r0_measured_00429,0.0688,12.2538,13.9205,13.9893,673,0.6775,0.561,0.3506
read,neo4j-native,0,1.0,r0_measured_00389,0.174,25.7209,28.384,28.558,675,1.0402,0.9641,0.5231
read,neo4j-native,0,1.0,r0_measured_00298,0.1329,20.8112,22.4989,22.6318,673,0.7278,0.5386,0.337
read,neo4j-native,0,1.0,r0_measured_00572,0.1505,25.0422,27.2585,27.409,507,0.7776,0.8675,0.4661
read,neo4j-native,0,1.0,r0_measured_00338,0.1773,32.935,36.3563,36.5336,676,1.4477,1.1071,0.6869
read,neo4j-native,0,1.0,r0_measured_00274,0.1475,29.6915,32.7499,32.8974,679,1.1562,1.1032,0.6641
read,neo4j-native,0,1.0,r0_measured_00087,0.1015,18.4503,20.9423,21.0438,660,0.7982,1.1028,0.5123
read,neo4j-native,0,1.0,r0_measured_00670,0.1798,25.5592,27.4245,27.6043,661,0.8148,0.6126,0.3549
read,neo4j-native,0,1.0,r0_measured_00409,0.077,20.0914,23.0501,23.1271,623,1.4649,1.0265,0.3473
read,neo4j-native,0,1.0,r0_measured_00463,0.1645,30.2373,33.3404,33.5049,676,1.4587,0.9174,0.5837
read,neo4j-native,0,1.0,r0_measured_00444,0.0982,24.7723,26.9698,27.068,685,0.8606,0.7586,0.4703
read,neo4j-native,0,1.0,r0_measured_00514,0.1253,40.3511,44.9124,45.0377,663,1.9053,1.5247,0.9015
read,neo4j-native,0,1.0,r0_measured_00251,0.1349,26.2561,29.2325,29.3674,675,0.9455,1.1431,0.7548
read,neo4j-native,0,1.0,r0_measured_00778,0.1182,27.5044,30.726,30.8442,659,1.284,1.1358,0.6521
read,neo4j-native,0,1.0,r0_measured_00090,0.1213,10.5707,12.1882,12.3095,566,0.5832,0.624,0.3311
