kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,cassandra-materialized,1,10.0,r1_measured_02689,1.7038,15.3968,57.759,59.4628,679,25.0952,16.7877,0.3772
read,cassandra-materialized,1,10.0,r1_measured_02214,0.4586,6.8525,24.891,25.3496,689,16.6218,0.9483,0.3609
read,cassandra-materialized,1,10.0,r1_measured_01787,0.1755,7.164,13.7865,13.962,627,4.8473,1.3395,0.3679
read,cassandra-materialized,1,10.0,r1_measured_02223,0.6212,19.0053,56.0047,56.6259,567,0.9642,0.5361,0.3793
read,cassandra-materialized,1,10.0,r1_measured_02129,4.9343,21.4387,29.1496,34.0839,508,6.2777,1.0157,0.3569
read,cassandra-materialized,1,10.0,r1_measured_02123,0.3972,40.7911,63.9906,64.3878,509,21.4851,1.2894,0.366
read,cassandra-materialized,1,10.0,r1_measured_02206,0.0852,26.4797,28.8213,28.9065,415,1.4903,0.3343,0.4403
read,cassandra-materialized,1,10.0,r1_measured_01540,7.1711,22.8937,46.6065,53.7776,676,20.3721,2.8688,0.4029
read,cassandra-materialized,1,10.0,r1_measured_02586,1.4378,7.4441,22.9612,24.399,418,14.7018,0.3721,0.3792
read,cassandra-materialized,1,10.0,r1_measured_01511,1.5233,21.7644,25.7632,27.2865,368,3.287,0.267,0.3912
read,cassandra-materialized,1,10.0,r1_measured_02844,0.1572,7.5424,13.0598,13.217,417,4.7291,0.3394,0.3835
read,cassandra-materialized,1,10.0,r1_measured_02477,5.1238,24.4686,45.7047,50.8285,506,20.2008,0.5246,0.4308
read,cassandra-materialized,1,10.0,r1_measured_01876,0.2292,17.0801,33.9854,34.2146,626,15.6286,0.8581,0.3538
read,cassandra-materialized,1,10.0,r1_measured_02612,1.6011,13.3921,15.0128,16.6139,416,0.9733,0.257,0.3375
read,cassandra-materialized,1,10.0,r1_measured_02440,0.1779,16.5827,27.1647,27.3426,663,8.907,1.161,0.4259
read,cassandra-materialized,1,10.0,r1_measured_01779,0.7522,26.1252,36.6521,37.4043,677,8.1,1.8911,0.4589
read,cassandra-materialized,1,10.0,r1_measured_01685,0.3605,8.167,10.8928,11.2533,662,1.0856,1.0997,0.4606
read,cassandra-materialized,1,10.0,r1_measured_02095,0.9557,7.772,17.3776,18.3333,688,8.3836,0.7609,0.3844
read,cassandra-materialized,1,10.0,r1_measured_02476,4.8179,24.3859,61.2372,66.0551,628,32.7488,3.6005,0.4114
read,cassandra-materialized,1,10.0,r1_measured_01470,1.0058,10.5478,15.2062,16.212,677,1.7326,2.4166,0.435
read,cassandra-materialized,1,10.0,r1_measured_02222,0.4375,19.2782,23.9506,24.3881,627,3.6574,0.5739,0.3676
read,cassandra-materialized,1,10.0,r1_measured_02191,0.1942,18.3761,58.5181,58.7123,663,37.858,1.7889,0.4161
read,cassandra-materialized,1,10.0,r1_measured_02084,13.9705,20.7366,47.9482,61.9187,680,26.0091,0.7274,0.4003
read,cassandra-materialized,1,10.0,r1_measured_01987,3.4941,13.29,15.8644,19.3585,414,1.838,0.2867,0.3882
read,cassandra-materialized,1,10.0,r1_measured_01700,0.7946,17.3628,20.9091,21.7037,660,2.2331,0.7514,0.4926
read,cassandra-materialized,1,10.0,r1_measured_01513,1.9423,20.5618,32.1061,34.0484,680,10.5407,0.5728,0.3572
read,cassandra-materialized,1,10.0,r1_measured_02399,1.4444,24.4022,46.0358,47.4802,679,19.6008,1.5443,0.4149
read,cassandra-materialized,1,10.0,r1_measured_01960,0.0881,20.235,48.1549,48.243,660,23.2238,4.0419,0.5582
read,cassandra-materialized,1,10.0,r1_measured_01995,3.9333,23.6024,31.8157,35.749,627,6.2434,1.4806,0.405
read,cassandra-materialized,1,10.0,r1_measured_01914,0.7502,18.1006,30.3393,31.0895,679,10.8936,0.9042,0.3713
read,cassandra-materialized,1,10.0,r1_measured_01697,0.1568,8.6449,12.0486,12.2054,679,2.3575,0.5303,0.4428
