kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,neo4j-materialized,0,1.0,r0_measured_00353,0.1891,28.3981,31.6989,31.888,672,1.4438,1.1324,0.6076
read,neo4j-materialized,0,1.0,r0_measured_00322,0.1353,25.6895,27.0669,27.2022,626,0.5405,0.4804,0.2973
read,neo4j-materialized,0,1.0,r0_measured_00652,0.1365,21.7084,24.4844,24.6209,671,1.0106,1.0299,0.6202
read,neo4j-materialized,0,1.0,r0_measured_00288,0.0852,11.9337,13.0785,13.1637,413,0.4902,0.2785,0.3185
read,neo4j-materialized,0,1.0,r0_measured_00180,0.0755,21.2937,22.9754,23.0509,687,0.592,0.5969,0.4147
read,neo4j-materialized,0,1.0,r0_measured_00462,0.1102,8.2382,9.3666,9.4768,368,0.5007,0.2405,0.331
read,neo4j-materialized,0,1.0,r0_measured_00253,0.1686,28.0208,30.8119,30.9805,504,1.0748,0.9269,0.6731
read,neo4j-materialized,0,1.0,r0_measured_00247,0.2988,25.6418,28.1463,28.4451,562,0.9866,0.874,0.5409
read,neo4j-materialized,0,1.0,r0_measured_00420,0.0974,22.6538,24.5711,24.6685,628,0.9634,0.548,0.3475
read,neo4j-materialized,0,1.0,r0_measured_00347,0.2316,24.7565,27.2183,27.4499,414,1.0567,0.5759,0.7088
read,neo4j-materialized,0,1.0,r0_measured_00259,0.1369,15.1128,17.0605,17.1974,562,0.8072,0.6837,0.3777
read,neo4j-materialized,0,1.0,r0_measured_00124,0.0888,30.7614,33.6577,33.7465,684,1.177,1.0437,0.5543
read,neo4j-materialized,0,1.0,r0_measured_00440,0.0755,12.1593,14.1345,14.21,679,0.6402,0.928,0.3367
read,neo4j-materialized,0,1.0,r0_measured_00287,0.2063,32.5852,36.8322,37.0385,679,1.6834,1.489,0.8908
read,neo4j-materialized,0,1.0,r0_measured_00149,0.0546,24.8233,27.6955,27.7501,685,1.0699,1.0636,0.628
read,neo4j-materialized,0,1.0,r0_measured_00009,0.0905,16.3035,17.9086,17.9991,661,0.6485,0.5825,0.3106
read,neo4j-materialized,0,1.0,r0_measured_00335,0.1581,18.7553,20.6972,20.8553,562,0.8284,0.6154,0.4268
read,neo4j-materialized,0,1.0,r0_measured_00683,0.127,13.8244,15.4074,15.5344,671,0.6152,0.5746,0.3196
read,neo4j-materialized,0,1.0,r0_measured_00276,0.213,28.071,29.8961,30.1091,675,0.7386,0.6318,0.3686
read,neo4j-materialized,0,1.0,r0_measured_00589,0.2135,30.0955,32.8779,33.0914,682,1.0809,1.0822,0.4976
read,neo4j-materialized,0,1.0,r0_measured_00225,0.2301,23.1875,25.2056,25.4357,508,0.7594,0.6608,0.5119
read,neo4j-materialized,0,1.0,r0_measured_00025,0.1202,21.2859,23.6384,23.7586,676,0.9143,0.8387,0.5005
read,neo4j-materialized,0,1.0,r0_measured_00584,0.0586,8.725,9.8825,9.9411,414,0.5037,0.2558,0.3389
read,neo4j-materialized,0,1.0,r0_measured_00662,0.1851,24.1529,25.9748,26.1599,627,0.7569,0.6161,0.357
read,neo4j-materialized,0,1.0,r0_measured_00222,0.0744,32.8647,34.4723,34.5467,563,0.4916,0.7058,0.3523
read,neo4j-materialized,0,1.0,r0_measured_00195,0.0918,11.4657,13.1197,13.2115,623,0.5923,0.6347,0.3538
read,neo4j-materialized,0,1.0,r0_measured_00674,0.2089,36.1332,37.8776,38.0865,563,0.6714,0.6277,0.3664
read,neo4j-materialized,0,1.0,r0_measured_00239,0.0642,28.4913,30.2726,30.3368,659,0.7699,0.5615,0.3676
read,neo4j-materialized,0,1.0,r0_measured_00248,0.1123,29.0159,31.1151,31.2274,660,0.86,0.6784,0.4686
read,neo4j-materialized,0,1.0,r0_measured_00089,0.1412,12.9606,14.9717,15.1129,415,0.773,0.4265,0.7232
read,neo4j-materialized,0,1.0,r0_measured_00753,0.156,25.7177,27.759,27.915,566,0.8538,0.6743,0.4338
