comparison,metric,left_out_conversation,mean_delta
MinMax_Linear - Weighted_RRF_dev,MRR,conv-50,0.018486783154121864
MinMax_Linear - Weighted_RRF_dev,rF1,conv-26,0.010685664470200517
MinMax_Linear - Weighted_RRF_dev,rF1,conv-30,0.008326749140365564
MinMax_Linear - Weighted_RRF_dev,rF1,conv-41,0.013701961143870534
MinMax_Linear - Weighted_RRF_dev,rF1,conv-43,0.007978788673042206
MinMax_Linear - Weighted_RRF_dev,rF1,conv-44,0.007132641856633713
MinMax_Linear - Weighted_RRF_dev,rF1,conv-47,0.010133594390722263
MinMax_Linear - Weighted_RRF_dev,rF1,conv-49,0.00801648234722192
MinMax_Linear - Weighted_RRF_dev,rF1,conv-50,0.005651198112029586
MinMax_Linear - Weighted_RRF_dev,rEM,conv-26,0.01002004008016032
MinMax_Linear - Weighted_RRF_dev,rEM,conv-30,0.00841908325537886
MinMax_Linear - Weighted_RRF_dev,rEM,conv-41,0.014028056112224449
MinMax_Linear - Weighted_RRF_dev,rEM,conv-43,0.01131687242798354
MinMax_Linear - Weighted_RRF_dev,rEM,conv-44,0.008763388510223954
MinMax_Linear - Weighted_RRF_dev,rEM,conv-47,0.009
MinMax_Linear - Weighted_RRF_dev,rEM,conv-49,0.008048289738430584
MinMax_Linear - Weighted_RRF_dev,rEM,conv-50,0.007056451612903226
MinMax_Linear - Weighted_RRF_dev,WrongAbst,conv-26,-0.008016032064128256
MinMax_Linear - Weighted_RRF_dev,WrongAbst,conv-30,-0.002806361085126286
MinMax_Linear - Weighted_RRF_dev,WrongAbst,conv-41,-0.003006012024048096
MinMax_Linear - Weighted_RRF_dev,WrongAbst,conv-43,-0.00411522633744856
MinMax_Linear - Weighted_RRF_dev,WrongAbst,conv-44,-0.0029211295034079843
MinMax_Linear - Weighted_RRF_dev,WrongAbst,conv-47,-0.002
MinMax_Linear - Weighted_RRF_dev,WrongAbst,conv-49,-0.0030181086519114686
MinMax_Linear - Weighted_RRF_dev,WrongAbst,conv-50,-0.0020161290322580645
