Method,R@1,R@10,MRR,Hit@10
ZScore_Linear,0.4217391304347826,0.8069565217391305,0.5461997929606625,0.8069565217391305
MinMax_Linear,0.41739130434782606,0.8008695652173913,0.5409541062801932,0.8008695652173913
Weighted_RRF_dev,0.3947826086956522,0.7895652173913044,0.5221642512077294,0.7895652173913044
