Method,n,R@1,R@10,MRR,Hit@10,rF1,rEM,WrongAbst
MinMax_Linear,1150,0.41739130434782606,0.8008695652173913,0.5409541062801932,0.8008695652173913,0.37408182724408323,0.2165217391304348,0.4391304347826087
Weighted_RRF_dev,1150,0.3947826086956522,0.7895652173913044,0.5221642512077295,0.7895652173913044,0.36513416049354314,0.20695652173913043,0.4426086956521739
ZScore_Linear,1150,0.4217391304347826,0.8069565217391305,0.5461997929606626,0.8069565217391305,0.3666015898571606,0.21043478260869566,0.43826086956521737
