cell,concurrency,repetition,update_rate_s,read_rate_s,op_id,qa_id,scope_id,target_memory_id,queue_wait_ms,worker_start_to_raw_commit_ms,raw_write_call_ms,raw_ack_to_structured_ms,structured_to_index_ms,index_to_ranking_ms,t_commit_ms,t_structured_view_visible_ms,t_index_visible_ms,pipeline_complete_ms,time_to_top10_ms,final_hit_at_10,structured_projection_ok,relation_candidate_ok,sparse_index_applied,dense_index_applied,sparse_index_visible,dense_index_visible,timeout_5000ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,fresh_hit_at_10_50ms,pipeline_visible_50ms,fresh_hit_at_10_100ms,pipeline_visible_100ms,fresh_hit_at_10_250ms,pipeline_visible_250ms,fresh_hit_at_10_500ms,pipeline_visible_500ms,fresh_hit_at_10_1000ms,pipeline_visible_1000ms,fresh_hit_at_10_2000ms,pipeline_visible_2000ms
cassandra-materialized,32,0,1.0,19.0,r0_measured_00015,lr000007::conv-48_qa_116,lr000007::conv-48,lr000007::conv-48_session_7_D7:20,0.1203,9.7815,9.7756,74.8634,26.3088,12.2114,9.9018,84.7652,111.074,123.2854,123.2854,1,1,1,1,1,1,1,0,1.5418,1.3575,0.3782,0,0,0,0,1,1,1,1,1,1,1,1
cassandra-materialized,32,0,1.0,19.0,r0_measured_00024,lr000010::conv-30_qa_60,lr000010::conv-30,lr000010::conv-30_session_9_D9:5,0.2202,16.2315,16.2289,92.2782,17.1628,14.064,16.4517,108.7299,125.8927,139.9567,,0,1,1,1,1,1,1,0,0.6869,0.3582,0.3953,0,0,0,0,0,1,0,1,0,1,0,1
