scope,n,R@1,R@10,MRR,Hit@10,rF1,rEM,WrongAbst
cat1-4,1540,0.4227,0.7942,0.5441,0.7942,0.3747,0.2149,0.4292
held-out,1150,0.4217,0.807,0.5462,0.807,0.3896,0.2296,0.4087
