Method,cat1_n,cat1_rF1,cat1_wrong_abstention,cat1_hit1,cat1_hit5,cat1_hit10,cat2_n,cat2_rF1,cat2_wrong_abstention,cat2_hit1,cat2_hit5,cat2_hit10,cat3_n,cat3_rF1,cat3_wrong_abstention,cat3_hit1,cat3_hit5,cat3_hit10,cat4_n,cat4_rF1,cat4_wrong_abstention,cat4_hit1,cat4_hit5,cat4_hit10
BM25,29,0.1474,0.6897,0.1379,0.3103,0.3793,34,0.1635,0.6176,0.2941,0.5,0.5882,15,0.0444,0.9333,0.0667,0.2,0.3333,88,0.4248,0.3864,0.2841,0.5,0.6023
Dense-bge,29,0.2306,0.4828,0.2759,0.5862,0.7241,34,0.1131,0.7059,0.3529,0.6176,0.6765,15,0.1111,0.8,0.2667,0.4667,0.6667,88,0.4694,0.3409,0.2841,0.5682,0.7159
Dense-bge+GlobalKG,29,0.2578,0.4138,0.3448,0.7586,0.7931,34,0.0818,0.7353,0.4118,0.5882,0.7647,15,0.1111,0.8,0.3333,0.4667,0.6667,88,0.4015,0.4205,0.3409,0.6023,0.7386
Dense-bge+QueryKG,29,0.2417,0.4483,0.2759,0.6897,0.7241,34,0.1739,0.5882,0.5,0.7059,0.7353,15,0.1111,0.8,0.2667,0.5333,0.6667,88,0.4285,0.375,0.2614,0.6023,0.7273
