Method,n,rEM,rF1,sEM,sF1,wrong_abstention,hit1,hit5,hit10
Dense-bge,39,0.1538,0.2727,0.1538,0.2727,0.5641,0.3077,0.6154,0.7179
Dense-bge+GlobalKG,39,0.1538,0.2727,0.1538,0.2727,0.5641,0.2821,0.6154,0.7179
Dense-bge+QueryKG,39,0.1538,0.2829,0.1538,0.2829,0.5641,0.3333,0.641,0.7179
