Method,n,rEM,rF1,sEM,sF1,wrong_abstention,hit1,hit5,hit10
BM25,1540,0.1539,0.2648,0.1532,0.2638,0.5929,0.2552,0.4656,0.5487
Dense-bge,1540,0.1831,0.3482,0.1825,0.3466,0.4539,0.374,0.6422,0.7299
Dense-bge+GlobalKG,1540,0.1701,0.3222,0.1688,0.321,0.4877,0.4136,0.6474,0.7338
Dense-bge+QueryKG,1540,0.1877,0.3516,0.187,0.3505,0.4494,0.3942,0.663,0.7494
