sequence,update_id,memory_id,version,operation,backend,phase,raw_committed,backend_error,processing_started_ns,rawerk_committed_ns,bm25_committed_ns,searchable_ns,retrieved_rank,queue_wait_ms,backend_commit_ms,view_update_ms,index_update_ms,visibility_probe_ms,update_to_searchable_ms,status
29,p53c-update-00000029,p53c-memory-0000007,2,update_relation,neo4j,stable_before_outage,1,,561573080564100,561573085341400,561573085991600,561573086149500,1,1010.7486,781.6553,4.7773,0.6502,0.1579,1016.3343,success
30,p53c-update-00000030,p53c-memory-0000013,3,replace_relation,neo4j,stable_before_outage,1,,561573090588100,561573096374600,561573096945400,561573097107400,1,970.7225,744.8375,5.7865,0.5708,0.162,977.242,success
31,p53c-update-00000031,p53c-memory-0000018,1,insert_memory,neo4j,stable_before_outage,1,,561573097635200,561573103990300,561573104692600,561573104803800,1,926.5385,686.7352,6.3551,0.7023,0.1112,933.7073,success
32,p53c-update-00000032,p53c-memory-0000019,1,insert_memory,neo4j,stable_before_outage,1,,561573105368200,561573111684400,561573112283800,561573112399000,1,885.2086,648.4795,6.3162,0.5994,0.1152,892.2398,success
33,p53c-update-00000033,p53c-memory-0000020,1,insert_memory,neo4j,stable_before_outage,1,,561573112951800,561573119251600,561573119800200,561573119921900,1,843.1529,601.8329,6.2998,0.5486,0.1217,850.1232,success
34,p53c-update-00000034,p53c-memory-0000021,1,insert_memory,neo4j,stable_before_outage,1,,561573128518700,561573135136500,561573135701600,561573135833900,1,807.896,551.5261,6.6178,0.5651,0.1323,815.2115,success
35,p53c-update-00000035,p53c-memory-0000022,1,insert_memory,neo4j,stable_before_outage,1,,561573136386400,561573141984500,561573142686200,561573142802600,1,765.4459,511.8195,5.5981,0.7017,0.1164,771.8624,success
36,p53c-update-00000036,p53c-memory-0000023,1,insert_memory,neo4j,stable_before_outage,1,,561573143354900,561573147890000,561573148414400,561573148542300,1,723.5751,473.1574,4.5351,0.5244,0.1279,728.7627,success
37,p53c-update-00000037,p53c-memory-0000022,2,update_relation,neo4j,stable_before_outage,1,,561573149179000,561573157116300,561573157757900,561573157896900,1,678.475,432.0485,7.9373,0.6416,0.139,687.1931,success
38,p53c-update-00000038,p53c-memory-0000008,2,update_relation,neo4j,stable_before_outage,1,,561573158789700,561573168166400,561573169000700,561573169250800,1,638.9727,386.8686,9.3767,0.8343,0.2501,649.4341,success
39,p53c-update-00000039,p53c-memory-0000004,3,update_relation,neo4j,stable_before_outage,1,,561573170255100,561573178630300,561573179480000,561573179653800,1,599.1468,342.9092,8.3752,0.8497,0.1738,608.5456,success
40,p53c-update-00000040,p53c-memory-0000009,3,replace_relation,neo4j,stable_before_outage,1,,561573180735800,561573193567700,561573194180000,561573194412000,1,560.7387,299.8238,12.8319,0.6123,0.232,574.4151,success
41,p53c-update-00000041,p53c-memory-0000024,1,insert_memory,neo4j,stable_before_outage,1,,561573195197700,561573202155500,561573202861800,561573203040700,1,525.3447,249.1879,6.9578,0.7063,0.1789,533.1879,success
42,p53c-update-00000042,p53c-memory-0000025,1,insert_memory,neo4j,stable_before_outage,1,,561573203727300,561573209240900,561573209805800,561573209981700,1,483.1835,203.8417,5.5136,0.5649,0.1759,489.4381,success
43,p53c-update-00000043,p53c-memory-0000026,1,insert_memory,neo4j,stable_before_outage,1,,561573210603900,561573215929700,561573216590300,561573216769100,1,440.3494,158.0357,5.3258,0.6606,0.1788,446.5148,success
44,p53c-update-00000044,p53c-memory-0000027,1,insert_memory,neo4j,stable_before_outage,1,,561573217437700,561573222895500,561573223610700,561573223798100,1,397.4676,113.7828,5.4578,0.7152,0.1874,403.8284,success
45,p53c-update-00000045,p53c-memory-0000028,1,insert_memory,neo4j,stable_before_outage,1,,561573224483700,561573229141900,561573229763300,561573229949400,1,354.1645,67.6189,4.6582,0.6214,0.1861,359.6304,success
46,p53c-update-00000046,p53c-memory-0000029,1,insert_memory,neo4j,stable_before_outage,1,,561573230579500,561573235736500,561573236634600,561573236752000,1,310.7183,24.5428,5.157,0.8981,0.1174,316.8912,success
47,p53c-update-00000047,p53c-memory-0000016,2,update_relation,neo4j,stable_before_outage,1,,561573237383500,561573243401600,561573244088500,561573244220800,1,266.759,14.1586,6.0181,0.6869,0.1323,273.5965,success
48,p53c-update-00000048,p53c-memory-0000019,2,update_relation,neo4j,stable_before_outage,1,,561573244881600,561573250272700,561573250963800,561573251110800,1,223.8346,15.1826,5.3911,0.6911,0.147,230.064,success
49,p53c-update-00000049,p53c-memory-0000011,2,update_relation,neo4j,stable_before_outage,1,,561573251742200,561573257626400,561573259147500,561573259276100,1,181.5144,9.9369,5.8842,1.5211,0.1286,189.0485,success
50,p53c-update-00000050,p53c-memory-0000011,3,replace_relation,neo4j,stable_before_outage,1,,561573259896200,561573265613700,561573266311900,561573266458300,1,140.0737,10.0173,5.7175,0.6982,0.1464,146.636,success
51,p53c-update-00000051,p53c-memory-0000030,1,insert_memory,neo4j,stable_before_outage,1,,561573267154700,561573272430900,561573273042100,561573273173000,1,95.9654,19.9025,5.2762,0.6112,0.1309,101.9841,success
52,p53c-update-00000052,p53c-memory-0000031,1,insert_memory,neo4j,stable_before_outage,1,,561573273924300,561573278451500,561573278960900,561573279093300,1,53.8005,11.9348,4.5272,0.5094,0.1324,58.9697,success
53,p53c-update-00000053,p53c-memory-0000032,1,insert_memory,neo4j,stable_before_outage,1,,561573310541600,561573320163700,561573320877800,561573321048900,1,40.4096,10.2063,9.6221,0.7141,0.1711,50.9174,success
