backend,phase,n,p50_ms,p95_ms,p99_ms,mean_ms
neo4j,stable_before_outage,400,55.442049999999995,1393.1497949999984,2017.8224599999999,218.19544
neo4j,outage,200,6754.73375,10703.353845,11049.386235,6783.795814
neo4j,recovery_with_input,600,53.79455,1231.0871549999981,2235.5612389999997,171.17748116666667
