backend,phase,n,p50_ms,p95_ms,p99_ms,mean_ms
cassandra,stable_before_outage,400,92.56465,1018.7282149999985,1504.6945659999997,216.167344
cassandra,outage,200,8884.94985,11522.545375,11752.99649,8890.0358785
cassandra,recovery_with_input,600,97.68055,5059.433374999999,5780.669295,1053.6205393333332
