backend,method,n_queries,n_evaluable,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
csv,BM25,1540,1536,0.35173404431216926,0.2584635416666667,0.46875,0.5514322916666666,0.4969203068446609,0.3732932459137181
csv,Dense-bge,1540,1536,0.4880931712962966,0.3756510416666667,0.6451822916666666,0.7337239583333334,0.6660266405351845,0.5121375247985976
csv,Dense+GlobalKG,1540,1536,0.5154857494212968,0.404296875,0.6666666666666666,0.7604166666666666,0.6919113936506118,0.5373432223649508
csv,RRF_compact,1540,1536,0.5204264322916669,0.3977864583333333,0.6881510416666666,0.7864583333333334,0.7147450138141048,0.5467533918339578
csv,ZScore-Raw,1540,1536,0.50624896660053,0.3782552083333333,0.6822916666666666,0.7708333333333334,0.6985234369968248,0.5326317057892939
csv,ZScore-RawERK,1540,1536,0.5468279803240745,0.4244791666666667,0.712890625,0.7981770833333334,0.7248815105562761,0.5691622738585794
cassandra,BM25,1540,1536,0.35173404431216926,0.2584635416666667,0.46875,0.5514322916666666,0.4969203068446609,0.3732932459137181
cassandra,Dense-bge,1540,1536,0.4880931712962966,0.3756510416666667,0.6451822916666666,0.7337239583333334,0.6660266405351845,0.5121375247985976
cassandra,Dense+GlobalKG,1540,1536,0.5154857494212968,0.404296875,0.6666666666666666,0.7604166666666666,0.6919113936506118,0.5373432223649508
cassandra,RRF_compact,1540,1536,0.5204264322916669,0.3977864583333333,0.6881510416666666,0.7864583333333334,0.7147450138141048,0.5467533918339578
cassandra,ZScore-Raw,1540,1536,0.50624896660053,0.3782552083333333,0.6822916666666666,0.7708333333333334,0.6985234369968248,0.5326317057892939
cassandra,ZScore-RawERK,1540,1536,0.5468279803240745,0.4244791666666667,0.712890625,0.7981770833333334,0.7248815105562761,0.5691622738585794
neo4j,BM25,1540,1536,0.35173404431216926,0.2584635416666667,0.46875,0.5514322916666666,0.4969203068446609,0.3732932459137181
neo4j,Dense-bge,1540,1536,0.4880931712962966,0.3756510416666667,0.6451822916666666,0.7337239583333334,0.6660266405351845,0.5121375247985976
neo4j,Dense+GlobalKG,1540,1536,0.5154857494212968,0.404296875,0.6666666666666666,0.7604166666666666,0.6919113936506118,0.5373432223649508
neo4j,RRF_compact,1540,1536,0.5204264322916669,0.3977864583333333,0.6881510416666666,0.7864583333333334,0.7147450138141048,0.5467533918339578
neo4j,ZScore-Raw,1540,1536,0.50624896660053,0.3782552083333333,0.6822916666666666,0.7708333333333334,0.6985234369968248,0.5326317057892939
neo4j,ZScore-RawERK,1540,1536,0.5468279803240745,0.4244791666666667,0.712890625,0.7981770833333334,0.7248815105562761,0.5691622738585794
