category,n,RawERK_R1,RawERKT_R1,delta_R1,RawERK_R5,RawERKT_R5,delta_R5,RawERK_R10,RawERKT_R10,delta_R10,RawERK_MRR,RawERKT_MRR,delta_MRR
cat1_multi-hop,224,0.29910714285714285,0.32142857142857145,0.022321428571428603,0.6339285714285714,0.6339285714285714,0.0,0.7767857142857143,0.78125,0.004464285714285698,0.4472842261904762,0.46074440192743765,0.013460175736961455
cat2_temporal,239,0.5481171548117155,0.5564853556485355,0.008368200836819994,0.7615062761506276,0.7698744769874477,0.008368200836820106,0.8158995815899581,0.8117154811715481,-0.004184100418409997,0.63752241482367,0.647039582918244,0.009517168094574036
cat3_open-domain,75,0.21333333333333335,0.21333333333333335,0.0,0.36,0.37333333333333335,0.013333333333333364,0.48,0.48,0.0,0.2878148148148148,0.2901640211640212,0.0023492063492063786
cat4_single-hop,612,0.44281045751633985,0.45751633986928103,0.01470588235294118,0.7581699346405228,0.7745098039215687,0.016339869281045805,0.8545751633986928,0.869281045751634,0.014705882352941235,0.5783509700176367,0.5929822855067953,0.014631315489158636
