comparison,variant,reference,delta_definition,delta_R@1,full_minus_variant_R@1,delta_R@5,full_minus_variant_R@5,delta_R@10,full_minus_variant_R@10,delta_MRR,full_minus_variant_MRR
NoCompact,Raw,RawERK,Raw - RawERK,-0.04695652173913045,0.04695652173913045,-0.025217391304347858,0.025217391304347858,-0.025217391304347858,0.025217391304347858,-0.03889475500345063,0.03889475500345063
WithoutEntity,RawRK,RawERK,RawRK - RawERK,-0.00782608695652176,0.00782608695652176,-0.006956521739130417,0.006956521739130417,-0.006086956521739184,0.006086956521739184,-0.007748447204968922,0.007748447204968922
WithoutRelation,RawEK,RawERK,RawEK - RawERK,-0.006086956521739129,0.006086956521739129,0.0,0.0,-0.00782608695652176,0.00782608695652176,-0.00763388543823329,0.00763388543823329
WithoutKeyword,RawER,RawERK,RawER - RawERK,-0.006086956521739129,0.006086956521739129,0.004347826086956497,-0.004347826086956497,-0.00521739130434784,0.00521739130434784,-0.0036770186335404187,0.0036770186335404187
TimeSensitivity,RawERKT,RawERK,RawERKT - RawERK,0.01391304347826089,-0.01391304347826089,0.011304347826086913,-0.011304347826086913,0.00782608695652176,-0.00782608695652176,0.01253933747412006,-0.01253933747412006
