run_id,update_id,operation,update_to_searchable_ms,kg_write_ms,kg_update_ms,probe_ms,retry_count,status
1,evt_00008829,insert_memory,328.153,328.153,N/A,N/A,0,ok
1,evt_00008830,insert_memory,328.762,328.762,N/A,N/A,0,ok
1,evt_00008831,insert_memory,327.843,327.843,N/A,N/A,0,ok
1,evt_00008832,insert_memory,325.278,325.278,N/A,N/A,0,ok
1,evt_00008833,insert_memory,326.018,326.018,N/A,N/A,0,ok
1,evt_00008834,insert_memory,325.038,325.038,N/A,N/A,0,ok
1,evt_00008835,insert_memory,325.722,325.722,N/A,N/A,0,ok
1,evt_00010412,insert_memory,333.474,333.474,N/A,N/A,0,ok
1,evt_00010413,insert_memory,331.2,331.2,N/A,N/A,0,ok
1,evt_00010414,insert_memory,333.792,333.792,N/A,N/A,0,ok
1,evt_00010415,insert_memory,330.532,330.532,N/A,N/A,0,ok
1,evt_00010416,insert_memory,331.569,331.569,N/A,N/A,0,ok
1,evt_00010417,insert_memory,330.551,330.551,N/A,N/A,0,ok
1,evt_00010418,insert_memory,332.084,332.084,N/A,N/A,0,ok
1,evt_00010419,insert_memory,327.787,327.787,N/A,N/A,0,ok
1,evt_00010420,insert_memory,329.541,329.541,N/A,N/A,0,ok
1,evt_00010421,insert_memory,327.32,327.32,N/A,N/A,0,ok
1,evt_00010422,insert_memory,326.133,326.133,N/A,N/A,0,ok
1,evt_00010423,insert_memory,327.623,327.623,N/A,N/A,0,ok
1,evt_00010424,insert_memory,326.517,326.517,N/A,N/A,0,ok
1,evt_00010425,insert_memory,325.353,325.353,N/A,N/A,0,ok
1,evt_00010426,insert_memory,328.618,328.618,N/A,N/A,0,ok
1,evt_00010427,insert_memory,325.694,325.694,N/A,N/A,0,ok
1,evt_00010428,insert_memory,325.311,325.311,N/A,N/A,0,ok
1,evt_00010429,insert_memory,328.59,328.59,N/A,N/A,0,ok
1,evt_00016499,insert_memory,324.372,324.372,N/A,N/A,0,ok
1,evt_00019426,insert_memory,331.842,331.842,N/A,N/A,0,ok
1,evt_00019428,insert_memory,330.103,330.103,N/A,N/A,0,ok
1,evt_00019429,insert_memory,330.747,330.747,N/A,N/A,0,ok
1,evt_00019430,insert_memory,330.404,330.404,N/A,N/A,0,ok
1,evt_00019431,insert_memory,331.195,331.195,N/A,N/A,0,ok
1,evt_00019432,insert_memory,330.549,330.549,N/A,N/A,0,ok
1,evt_00019433,insert_memory,331.075,331.075,N/A,N/A,0,ok
1,evt_00019434,insert_memory,332.613,332.613,N/A,N/A,0,ok
1,evt_00019435,insert_memory,332.062,332.062,N/A,N/A,0,ok
1,evt_00019436,insert_memory,332.358,332.358,N/A,N/A,0,ok
1,evt_00019437,insert_memory,329.297,329.297,N/A,N/A,0,ok
1,evt_00019438,insert_memory,330.585,330.585,N/A,N/A,0,ok
1,evt_00019439,insert_memory,331.188,331.188,N/A,N/A,0,ok
1,evt_00019440,insert_memory,331.544,331.544,N/A,N/A,0,ok
1,evt_00019441,insert_memory,332.48,332.48,N/A,N/A,0,ok
1,evt_00019442,insert_memory,331.559,331.559,N/A,N/A,0,ok
1,evt_00019443,insert_memory,329.894,329.894,N/A,N/A,0,ok
1,evt_00019444,insert_memory,328.604,328.604,N/A,N/A,0,ok
1,evt_00019445,insert_memory,328.907,328.907,N/A,N/A,0,ok
1,evt_00019446,insert_memory,328.534,328.534,N/A,N/A,0,ok
1,evt_00019447,insert_memory,329.166,329.166,N/A,N/A,0,ok
1,evt_00019448,insert_memory,328.114,328.114,N/A,N/A,0,ok
1,evt_00019449,insert_memory,325.762,325.762,N/A,N/A,0,ok
1,evt_00019450,insert_memory,327.575,327.575,N/A,N/A,0,ok
1,evt_00019451,insert_memory,325.46,325.46,N/A,N/A,0,ok
1,evt_00019453,insert_memory,324.374,324.374,N/A,N/A,0,ok
1,evt_00019456,insert_memory,332.805,332.805,N/A,N/A,0,ok
1,evt_00019457,insert_memory,335.337,335.337,N/A,N/A,0,ok
1,evt_00019458,insert_memory,335.21,335.21,N/A,N/A,0,ok
1,evt_00021594,insert_memory,326.853,326.853,N/A,N/A,0,ok
1,evt_00021595,insert_memory,325.894,325.894,N/A,N/A,0,ok
1,evt_00021597,insert_memory,325.371,325.371,N/A,N/A,0,ok
1,evt_00021598,insert_memory,325.327,325.327,N/A,N/A,0,ok
1,evt_00021599,insert_memory,327.861,327.861,N/A,N/A,0,ok
1,evt_00021602,insert_memory,325.458,325.458,N/A,N/A,0,ok
1,evt_00021604,insert_memory,326.153,326.153,N/A,N/A,0,ok
1,evt_00021605,insert_memory,325.376,325.376,N/A,N/A,0,ok
1,evt_00021606,insert_memory,324.747,324.747,N/A,N/A,0,ok
1,evt_00021607,insert_memory,325.587,325.587,N/A,N/A,0,ok
1,evt_00021608,insert_memory,324.483,324.483,N/A,N/A,0,ok
2,evt_00002000,insert_memory,938.34,938.34,N/A,N/A,0,ok
2,evt_00002001,insert_memory,935.807,935.807,N/A,N/A,0,ok
2,evt_00002002,insert_memory,927.491,927.491,N/A,N/A,0,ok
