backend,concurrency,run_id,update_id,update_to_searchable_ms,kg_write_ms,probe_ms,status
cassandra,64,2,evt_00021528,60.101,60.101,0,ok
cassandra,64,2,evt_00021529,59.841,59.841,0,ok
cassandra,64,2,evt_00021530,57.729,57.729,0,ok
cassandra,64,2,evt_00021531,57.907,57.907,0,ok
cassandra,64,2,evt_00021532,58.284,58.284,0,ok
cassandra,64,2,evt_00021533,56.611,56.611,0,ok
cassandra,64,2,evt_00021534,60.578,60.578,0,ok
cassandra,64,2,evt_00021535,57.3,57.3,0,ok
cassandra,64,2,evt_00021536,56.207,56.207,0,ok
cassandra,64,2,evt_00021537,55.113,55.113,0,ok
cassandra,64,2,evt_00021538,61.086,61.086,0,ok
cassandra,64,2,evt_00021539,60.112,60.112,0,ok
cassandra,64,2,evt_00021540,55.92,55.92,0,ok
cassandra,64,2,evt_00021541,52.139,52.139,0,ok
cassandra,64,2,evt_00021542,54.073,54.073,0,ok
cassandra,64,2,evt_00021543,54.795,54.795,0,ok
cassandra,64,2,evt_00021544,60.801,60.801,0,ok
cassandra,64,2,evt_00021545,58.304,58.304,0,ok
cassandra,64,2,evt_00021546,57.883,57.883,0,ok
cassandra,64,2,evt_00021547,57.375,57.375,0,ok
cassandra,64,2,evt_00021548,57.948,57.948,0,ok
cassandra,64,2,evt_00021549,60.099,60.099,0,ok
cassandra,64,2,evt_00021550,57.375,57.375,0,ok
cassandra,64,2,evt_00021551,57.686,57.686,0,ok
cassandra,64,2,evt_00021552,62.116,62.116,0,ok
cassandra,64,2,evt_00021553,55.611,55.611,0,ok
cassandra,64,2,evt_00021554,58.22,58.22,0,ok
cassandra,64,2,evt_00021555,58.475,58.475,0,ok
cassandra,64,2,evt_00021556,56.462,56.462,0,ok
cassandra,64,2,evt_00021557,53.646,53.646,0,ok
cassandra,64,2,evt_00021558,53.184,53.184,0,ok
cassandra,64,2,evt_00021559,59.771,59.771,0,ok
cassandra,64,2,evt_00021560,55.728,55.728,0,ok
cassandra,64,2,evt_00021561,54.809,54.809,0,ok
cassandra,64,2,evt_00021562,61.152,61.152,0,ok
cassandra,64,2,evt_00021563,60.42,60.42,0,ok
cassandra,64,2,evt_00021564,61.08,61.08,0,ok
cassandra,64,2,evt_00021565,52.186,52.186,0,ok
cassandra,64,2,evt_00021566,60.761,60.761,0,ok
cassandra,64,2,evt_00021567,58.029,58.029,0,ok
cassandra,64,2,evt_00021568,60.658,60.658,0,ok
cassandra,64,2,evt_00021569,56.931,56.931,0,ok
cassandra,64,2,evt_00021570,59.996,59.996,0,ok
cassandra,64,2,evt_00021571,57.676,57.676,0,ok
cassandra,64,2,evt_00021572,60.312,60.312,0,ok
cassandra,64,2,evt_00021573,60.202,60.202,0,ok
cassandra,64,2,evt_00021574,59.232,59.232,0,ok
cassandra,64,2,evt_00021575,74.654,74.654,0,ok
cassandra,64,2,evt_00021576,66.015,66.015,0,ok
cassandra,64,2,evt_00021577,69.719,69.719,0,ok
cassandra,64,2,evt_00021578,61.374,61.374,0,ok
cassandra,64,2,evt_00021579,66.281,66.281,0,ok
cassandra,64,2,evt_00021580,62.087,62.087,0,ok
cassandra,64,2,evt_00021581,63.384,63.384,0,ok
cassandra,64,2,evt_00021582,54.924,54.924,0,ok
cassandra,64,2,evt_00021583,64.624,64.624,0,ok
cassandra,64,2,evt_00021584,61.544,61.544,0,ok
cassandra,64,2,evt_00021585,62.819,62.819,0,ok
cassandra,64,2,evt_00021586,60.398,60.398,0,ok
cassandra,64,2,evt_00021587,64.352,64.352,0,ok
cassandra,64,2,evt_00021588,63.667,63.667,0,ok
cassandra,64,2,evt_00021589,64.484,64.484,0,ok
cassandra,64,2,evt_00021590,60.402,60.402,0,ok
cassandra,64,2,evt_00021591,60.729,60.729,0,ok
cassandra,64,2,evt_00021592,59.327,59.327,0,ok
cassandra,64,2,evt_00021593,62.291,62.291,0,ok
cassandra,64,2,evt_00021594,63.693,63.693,0,ok
cassandra,64,2,evt_00021595,68.315,68.315,0,ok
cassandra,64,2,evt_00021596,64.043,64.043,0,ok
cassandra,64,2,evt_00021597,58.275,58.275,0,ok
cassandra,64,2,evt_00021598,64.159,64.159,0,ok
cassandra,64,2,evt_00021599,64.812,64.812,0,ok
cassandra,64,2,evt_00021600,67.718,67.718,0,ok
cassandra,64,2,evt_00021601,62.516,62.516,0,ok
cassandra,64,2,evt_00021602,60.006,60.006,0,ok
cassandra,64,2,evt_00021603,61.281,61.281,0,ok
cassandra,64,2,evt_00021604,61.066,61.066,0,ok
cassandra,64,2,evt_00021605,63.903,63.903,0,ok
cassandra,64,2,evt_00021606,57.251,57.251,0,ok
cassandra,64,2,evt_00021607,59.126,59.126,0,ok
cassandra,64,2,evt_00021608,62.184,62.184,0,ok
cassandra,64,2,evt_00021609,57.683,57.683,0,ok
cassandra,64,2,evt_00021610,67.326,67.326,0,ok
cassandra,64,2,evt_00021611,60.556,60.556,0,ok
cassandra,64,2,evt_00021612,59.486,59.486,0,ok
cassandra,64,2,evt_00021613,65.395,65.395,0,ok
cassandra,64,2,evt_00021614,65.078,65.078,0,ok
cassandra,64,2,evt_00021615,57.801,57.801,0,ok
cassandra,64,2,evt_00021616,65.703,65.703,0,ok
cassandra,64,2,evt_00021617,64.095,64.095,0,ok
cassandra,64,2,evt_00021618,63.176,63.176,0,ok
cassandra,64,2,evt_00021619,59.516,59.516,0,ok
cassandra,64,2,evt_00021620,63.548,63.548,0,ok
cassandra,64,2,evt_00021621,63.27,63.27,0,ok
cassandra,64,2,evt_00021622,61.263,61.263,0,ok
cassandra,64,2,evt_00021623,62.102,62.102,0,ok
cassandra,64,2,evt_00021624,67.814,67.814,0,ok
cassandra,64,2,evt_00021625,59.705,59.705,0,ok
cassandra,64,2,evt_00021626,69.64,69.64,0,ok
cassandra,64,2,evt_00021627,63.261,63.261,0,ok
cassandra,64,2,evt_00021628,63.238,63.238,0,ok
cassandra,64,2,evt_00021629,63.135,63.135,0,ok
cassandra,64,2,evt_00021630,54.783,54.783,0,ok
cassandra,64,2,evt_00021631,58.613,58.613,0,ok
cassandra,64,2,evt_00021632,60.029,60.029,0,ok
cassandra,64,2,evt_00021633,57.474,57.474,0,ok
cassandra,64,2,evt_00021634,61.278,61.278,0,ok
cassandra,64,2,evt_00021635,59.321,59.321,0,ok
cassandra,64,2,evt_00021636,59.387,59.387,0,ok
cassandra,64,2,evt_00021637,61.281,61.281,0,ok
cassandra,64,2,evt_00021638,60.211,60.211,0,ok
cassandra,64,2,evt_00021639,58.591,58.591,0,ok
cassandra,64,2,evt_00021640,62.571,62.571,0,ok
cassandra,64,2,evt_00021641,58.388,58.388,0,ok
