run_id,scale_label,graph_id,write_graph_id,system,mode,cold_mode,clients,hop,fanout,cycle_policy,write_ratio_target,write_ratio_actual,repeat,warmup_seconds,measurement_seconds,completed_reads,completed_writes,read_QPS,write_QPS,read_mean_ms,read_p50_ms,read_p95_ms,read_p99_ms,write_mean_ms,write_p50_ms,write_p95_ms,write_p99_ms,round_trips_mean,round_trips_p95,raw_rows_mean,raw_rows_p95,read_error_count,write_error_count,error_rate,spotcheck_10_10,spotcheck_passed,spotcheck_checked,write_validation_20_20,write_validation_passed,write_validation_checked,cache_enabled,cache_hit_rate,effective_latency_ms,frontier_workers,relation_index_enabled,backend_state
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_cassandra_opt_cold_r1_smoke_20260709_203444,cassandra_opt,cold,process_cold,32,2,20,path,0.1,0.0955,1,0,20.001,11656,1231,582.76,61.546,51.606,44.744,97.317,118.999,31.9,27.604,70.912,86.144,3.614,5,88.47,440,0,0,0.0,True,10,10,True,20,20,False,0,51.606,16,False,process_cold
20260709_203444,100K_legacy_clean,sysaxis_100K_legacy_clean_20260709,sysaxis_100K_legacy_clean_write_20260709_neo4j_cold_r1_smoke_20260709_203444,neo4j,cold,process_cold,32,2,20,path,0.1,0.0923,1,0,20.001,9633,979,481.632,48.948,65.617,48.196,167.354,464.116,10.723,10.086,16.719,33.405,3.659,5,7.891,35,0,0,0.0,True,10,10,True,20,20,False,0,65.617,,False,process_cold
