status,protocol_id,cell,concurrency,repetition,warmup_operations,measured_operations,reads,updates,warmup_seconds,measured_seconds,throughput_ops_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,read_p50_ms,read_p95_ms,read_p99_ms,update_p50_ms,update_p95_ms,update_p99_ms,fresh_hit_at_10,error_rate,graph_projection_pass,relation_candidate_pass,source_sha256
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-base,64,1,500,5000,4750,250,2.0298261999851093,21.226444900035858,235.55522479374554,182.52065,727.0116850000052,1782.8772820000008,178.4758,362.279065,544.175871,1568.18535,1978.8182449999997,2172.6529719999994,0.764,0.0,250,250,ce1c6fc2d5c4764b35a9641233181f71294b5f8e5d50726271de78bf3f8381fc
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-base,64,2,500,5000,4750,250,2.0333586999913678,21.490858000004664,232.65706748417932,189.7629,755.36539000002,1798.6959840000006,184.83325000000002,358.5720750000001,530.1118910000001,1582.01375,1983.1753949999998,2115.155105,0.772,0.0,250,250,d0362b96337816c14523d6c1d7895f4794d3e737ea66b1eb2a65751e766fe110
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,1,0,500,5000,4750,250,10.363449800002854,103.96589490002953,48.092694289871204,15.597349999999999,86.87002000000011,124.34230600000002,15.465,20.094995,27.52091000000002,109.18809999999999,144.20060999999998,188.39090399999998,0.7,0.0,250,250,3eb8c89bbdd0b6402ddd05e9801c835929beb844eef4d6970be701c269423521
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,1,1,500,5000,4750,250,10.372141200001352,104.16081079997821,48.00269853507175,15.56905,84.34592500000046,123.68882700000003,15.44575,20.895485,29.490665000000053,109.33095,136.71902999999995,173.612318,0.764,0.0,250,250,4d308fc64f7dc628c6348d5a623dce1eb618a569be5211bdb68a8707d6539591
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,1,2,500,5000,4750,250,10.251560500008054,104.15012070001103,48.00762559269382,15.59555,87.88083500000005,123.99575900000002,15.463899999999999,20.30811,28.205210000000005,108.98400000000001,144.857595,187.14076699999998,0.772,0.0,250,250,5574283700c683b2dd9821a13e27c26943497d2bbc84123d3726bf4c4179cb13
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,8,0,500,5000,4750,250,2.158118800027296,22.461688000010327,222.60125775042826,20.8289,114.57216000000001,243.07994700000003,20.23735,80.83766000000006,112.98631200000003,179.38425,304.74711499999995,346.39581999999996,0.7,0.0,250,250,b503afd5c09233df8aa7a33852306a9e4e059f18317073c6a772be5f18339b1f
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,8,1,500,5000,4750,250,2.1586024000425823,22.076396699994802,226.48623631596442,20.6236,114.72753000000002,245.35583100000062,19.8687,80.04555500000001,111.92325700000006,174.49115,291.82701499999996,327.523353,0.764,0.0,250,250,b51b19979bd2c674f7dd1738723b8296788f4d7573be238f776617ebab5e90ca
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,8,2,500,5000,4750,250,2.1863599000498652,22.149121700029355,225.7425855397857,21.23975,109.45799500000001,238.77819500000024,20.61075,78.46896000000002,107.83681900000006,174.7584,302.501335,339.363367,0.772,0.0,250,250,38ddffe8c5f0a596add8c2586c40ccb484d295d820ba600545be4d9e053ecbcc
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,16,0,500,5000,4750,250,2.1370448999805376,22.367379800009076,223.53981756942184,40.71405,293.63973000000107,570.3357470000003,38.8116,123.06203000000002,180.75774100000004,486.0238,672.0104549999999,803.9538679999995,0.7,0.0,250,250,0c5714b11ca4f4b205fe431b336611914310eb1408fa516657cdc5b1c8ad57c2
PASS,graph-aware-logical-event-v2-100k-95r5u,cassandra-materialized,16,1,500,5000,4750,250,2.036161300027743,22.303332999988925,224.18174001179477,40.612700000000004,271.4868550000007,573.021675,39.1031,119.86385,181.95600100000038,479.75424999999996,648.6721749999999,785.7337239999998,0.764,0.0,250,250,36b44415d1cd20636ec310d016bc161dc132cb2bd6e6e5625d3ff7a8b3a7514f
