run_id,system,graph_id,clients,hop,fanout,cycle_policy,repeat,mode,cold_mode,warmup_seconds,measurement_seconds,completed_reads,read_QPS,read_mean_ms,read_p50_ms,read_p95_ms,read_p99_ms,read_error_count,error_rate,cache_enabled,cache_hit_rate,effective_latency_ms,frontier_workers,relation_index_enabled,backend_state,read_hash_spotcheck_passed
20260709,cassandra_naive,c3_scale_1M_seed42,8,2,20,path,5,cold,process_cold,0,45.0,22060,490.22,16.322,11.756,43.924,101.27,0,0.0,False,0,16.322,1,False,cold,True
20260709,cassandra_opt,c3_scale_1M_seed42,8,2,20,path,5,cold,process_cold,0,45.001,22774,506.076,15.813,12.76,34.942,51.328,0,0.0,False,0,15.813,16,False,cold,True
20260709,neo4j,c3_scale_1M_seed42,8,2,20,path,5,cold,process_cold,0,45.001,21555,478.994,16.703,12.524,35.245,111.219,0,0.0,False,0,16.703,0,False,cold,True
20260709,cassandra_opt,c3_scale_1M_seed42,32,2,20,path,1,cold,process_cold,0,45.0,27720,615.996,51.992,46.461,87.066,111.451,0,0.0,False,0,51.992,16,False,cold,True
20260709,cassandra_naive,c3_scale_1M_seed42,32,2,20,path,1,cold,process_cold,0,45.035,36040,800.262,40.023,29.929,81.812,241.819,0,0.0,False,0,40.023,1,False,cold,True
20260709,neo4j,c3_scale_1M_seed42,32,2,20,path,1,cold,process_cold,0,45.002,21809,484.619,66.188,47.937,159.921,456.003,0,0.0,False,0,66.188,0,False,cold,True
20260709,neo4j,c3_scale_1M_seed42,32,2,20,path,2,cold,process_cold,0,45.001,21773,483.838,66.278,47.657,163.243,453.023,0,0.0,False,0,66.278,0,False,cold,True
20260709,cassandra_naive,c3_scale_1M_seed42,32,2,20,path,2,cold,process_cold,0,45.001,35859,796.849,40.184,30.372,81.048,242.395,0,0.0,False,0,40.184,1,False,cold,True
20260709,cassandra_opt,c3_scale_1M_seed42,32,2,20,path,2,cold,process_cold,0,45.002,27606,613.442,52.224,46.83,89.697,110.06,0,0.0,False,0,52.224,16,False,cold,True
20260709,cassandra_opt,c3_scale_1M_seed42,32,2,20,path,3,cold,process_cold,0,45.001,27769,617.068,51.885,46.009,87.901,107.258,0,0.0,False,0,51.885,16,False,cold,True
