backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
114.8529,673,,,3.1964,,,,,,120.3118,r1_measured_00000,read,measured,,,,,1.6765,,ok,0.5022
825.2685,628,76.1894,146.8102,1.9581,372.2321,1,146.8088,1,303.7793,886.0027,r1_measured_00001,update,measured,156.9691,60.7342,1,42.2322,58.333,30.8355,ok,0.3728
146.0531,628,,,3.0953,,,,,,165.2544,r1_measured_00002,read,measured,,,,,15.6697,,ok,0.3673
120.6063,567,,,1.2614,,,,,,125.9237,r1_measured_00003,read,measured,,,,,3.5663,,ok,0.4187
119.7836,628,,,0.8876,,,,,,124.8074,r1_measured_00004,read,measured,,,,,3.6859,,ok,0.38
139.6324,628,,,2.549,,,,,,166.1864,r1_measured_00005,read,measured,,,,,23.6361,,ok,0.3121
118.8745,417,,,0.4157,,,,,,121.5461,r1_measured_00006,read,measured,,,,,1.7276,,ok,0.4641
135.8344,663,,,2.2852,,,,,,177.3796,r1_measured_00007,read,measured,,,,,38.8767,,ok,0.3206
138.6245,680,,,2.289,,,,,,179.0365,r1_measured_00008,read,measured,,,,,37.7322,,ok,0.3195
132.7117,679,,,2.5794,,,,,,177.6685,r1_measured_00009,read,measured,,,,,42.0064,,ok,0.306
136.5535,368,,,0.2461,,,,,,148.3968,r1_measured_00010,read,measured,,,,,11.2155,,ok,0.3317
133.1869,417,,,0.2614,,,,,,135.8471,r1_measured_00011,read,measured,,,,,2.0061,,ok,0.3391
132.4321,679,,,7.0867,,,,,,160.0059,r1_measured_00012,read,measured,,,,,20.0933,,ok,0.33
131.9305,628,,,2.0461,,,,,,153.5616,r1_measured_00013,read,measured,,,,,19.1877,,ok,0.333
132.6667,418,,,3.9068,,,,,,145.385,r1_measured_00014,read,measured,,,,,8.4139,,ok,0.3374
132.6602,681,,,1.7902,,,,,,164.5241,r1_measured_00015,read,measured,,,,,29.7015,,ok,0.311
137.0774,567,,,4.4996,,,,,,155.8882,r1_measured_00016,read,measured,,,,,13.9137,,ok,0.3396
135.9976,689,,,3.6523,,,,,,181.3017,r1_measured_00017,read,measured,,,,,41.289,,ok,0.3004
137.0578,567,,,1.0788,,,,,,167.2382,r1_measured_00018,read,measured,,,,,28.7501,,ok,0.302
131.9263,680,,,6.2888,,,,,,159.1647,r1_measured_00019,read,measured,,,,,20.5476,,ok,0.3292
130.6835,419,,,1.83,,,,,,146.9956,r1_measured_00020,read,measured,,,,,14.1142,,ok,0.3177
131.874,677,,,1.5469,,,,,,167.6378,r1_measured_00021,read,measured,,,,,33.7148,,ok,0.4367
140.4465,508,,,1.6296,,,,,,176.7149,r1_measured_00022,read,measured,,,,,34.2818,,ok,0.3069
131.1964,509,,,2.625,,,,,,168.4511,r1_measured_00023,read,measured,,,,,34.2634,,ok,0.3083
141.9435,678,,,3.0136,,,,,,155.855,r1_measured_00024,read,measured,,,,,10.5059,,ok,0.3285
138.8512,680,,,0.582,,,,,,184.8235,r1_measured_00025,read,measured,,,,,45.0332,,ok,0.2949
141.073,680,,,2.3098,,,,,,162.7806,r1_measured_00026,read,measured,,,,,19.0217,,ok,0.3082
130.6628,365,,,0.2399,,,,,,133.3486,r1_measured_00027,read,measured,,,,,2.051,,ok,0.348
140.2695,678,,,1.5571,,,,,,171.026,r1_measured_00028,read,measured,,,,,28.8114,,ok,0.321
139.1992,661,,,4.6634,,,,,,162.8828,r1_measured_00029,read,measured,,,,,18.6271,,ok,0.3282
