backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
558.5114,660,,,0.6647,,,,,,563.9001,r0_measured_00000,read,measured,,,,,4.3144,,ok,0.3371
571.0496,674,,,0.6764,,,,,,585.5456,r0_measured_00001,read,measured,,,,,13.3978,,ok,0.3544
528.6438,663,,,1.0043,,,,,,534.4436,r0_measured_00002,read,measured,,,,,4.3787,,ok,0.3426
520.8736,626,,,1.4193,,,,,,529.2575,r0_measured_00003,read,measured,,,,,6.5663,,ok,0.3333
483.7388,565,,,0.7517,,,,,,491.2657,r0_measured_00004,read,measured,,,,,6.3743,,ok,0.3327
565.0546,663,,,1.3039,,,,,,577.3773,r0_measured_00005,read,measured,,,,,10.6086,,ok,0.3359
562.1515,663,,,2.1287,,,,,,578.2868,r0_measured_00006,read,measured,,,,,13.5316,,ok,0.3995
373.1642,418,,,0.2924,,,,,,375.0047,r0_measured_00007,read,measured,,,,,1.162,,ok,0.3261
498.9149,565,,,0.5171,,,,,,507.4358,r0_measured_00008,read,measured,,,,,7.5956,,ok,0.3364
555.9392,661,,,0.6893,,,,,,570.4335,r0_measured_00009,read,measured,,,,,13.353,,ok,0.3749
571.337,662,,,1.0412,,,,,,589.1264,r0_measured_00010,read,measured,,,,,16.3491,,ok,0.3362
580.6969,685,,,0.7056,,,,,,592.765,r0_measured_00011,read,measured,,,,,10.9086,,ok,0.3727
483.0328,565,,,1.1225,,,,,,491.6765,r0_measured_00012,read,measured,,,,,7.0692,,ok,0.3797
395.3843,418,,,0.7729,,,,,,397.7904,r0_measured_00013,read,measured,,,,,1.2256,,ok,0.3405
579.5866,678,,,2.0042,,,,,,597.4249,r0_measured_00014,read,measured,,,,,15.2625,,ok,0.4874
758.0318,681,497.8931,75.2864,0.9642,107.8076,1,75.2845,1,100.7953,765.0064,r0_measured_00015,update,measured,25.5089,6.9746,1,14.7568,5.569,36.779,ok,0.3596
438.7256,567,,,0.8621,,,,,,446.7544,r0_measured_00016,read,measured,,,,,6.7205,,ok,0.3718
522.9047,685,,,0.7658,,,,,,527.6615,r0_measured_00017,read,measured,,,,,3.5616,,ok,0.3582
