backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
723.9098,418,,,0.413,,,,,,731.1875,r2_measured_00000,read,measured,,,,,6.3728,,ok,0.4168
1037.954,628,,,1.9693,,,,,,1044.2868,r2_measured_00001,read,measured,,,,,3.8788,,ok,0.3938
592.7386,369,,,1.0568,,,,,,597.5083,r2_measured_00002,read,measured,,,,,3.2997,,ok,0.3496
1123.0759,681,,,1.3082,,,,,,1148.0958,r2_measured_00003,read,measured,,,,,23.2742,,ok,0.357
1103.294,628,,,0.8406,,,,,,1130.8956,r2_measured_00004,read,measured,,,,,26.3306,,ok,0.356
1133.8732,659,,,0.5791,,,,,,1161.9236,r2_measured_00005,read,measured,,,,,27.0672,,ok,0.3347
1086.1784,679,,,2.0248,,,,,,1117.3825,r2_measured_00006,read,measured,,,,,28.7102,,ok,0.3812
944.6878,568,,,0.7227,,,,,,967.8125,r2_measured_00007,read,measured,,,,,21.9366,,ok,0.3881
1173.274,689,,,1.7134,,,,,,1186.6098,r2_measured_00008,read,measured,,,,,10.8021,,ok,0.7019
1124.9256,677,,,0.8531,,,,,,1155.7214,r2_measured_00009,read,measured,,,,,29.4908,,ok,0.3758
1089.891,679,,,0.6102,,,,,,1098.161,r2_measured_00010,read,measured,,,,,7.2017,,ok,0.3785
927.7628,567,,,0.8154,,,,,,944.8226,r2_measured_00011,read,measured,,,,,15.7931,,ok,0.3678
687.4501,418,,,0.3939,,,,,,690.7208,r2_measured_00012,read,measured,,,,,2.503,,ok,0.3076
1107.237,674,,,0.8849,,,,,,1119.3782,r2_measured_00013,read,measured,,,,,10.8243,,ok,0.3533
859.4947,506,,,0.5432,,,,,,879.6647,r2_measured_00014,read,measured,,,,,19.181,,ok,0.3615
1159.3146,663,,,0.8842,,,,,,1176.557,r2_measured_00015,read,measured,,,,,15.8932,,ok,0.3692
1032.0023,624,,,0.8565,,,,,,1039.3494,r2_measured_00016,read,measured,,,,,6.0596,,ok,0.3512
1080.9134,673,,,1.0349,,,,,,1095.3575,r2_measured_00017,read,measured,,,,,12.9054,,ok,0.4075
1047.229,628,,,0.7893,,,,,,1051.5735,r2_measured_00018,read,measured,,,,,3.136,,ok,0.3493
1135.4271,679,,,2.3026,,,,,,1151.4765,r2_measured_00019,read,measured,,,,,13.3339,,ok,0.343
1065.8978,627,,,2.3061,,,,,,1079.8751,r2_measured_00020,read,measured,,,,,11.2368,,ok,0.3565
1153.388,678,,,5.3936,,,,,,1217.5038,r2_measured_00021,read,measured,,,,,58.276,,ok,0.3626
1188.4247,687,,,1.0585,,,,,,1223.4532,r2_measured_00022,read,measured,,,,,33.5171,,ok,0.3612
692.8491,419,,,0.6111,,,,,,696.716,r2_measured_00023,read,measured,,,,,2.8232,,ok,0.3532
1262.402,689,,,1.3227,,,,,,1289.4454,r2_measured_00024,read,measured,,,,,25.258,,ok,0.3819
1049.7948,628,,,0.8933,,,,,,1062.7798,r2_measured_00025,read,measured,,,,,11.6669,,ok,0.3512
869.2929,507,,,0.7932,,,,,,877.3679,r2_measured_00026,read,measured,,,,,6.8606,,ok,0.3469
1115.4568,674,,,1.3454,,,,,,1137.0389,r2_measured_00027,read,measured,,,,,19.8199,,ok,0.3386
