backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
54.4872,675,,,3.2313,,,,,,75.6129,r2_measured_00053,read,measured,,,,,17.5114,,ok,0.3212
55.2465,508,,,2.7855,,,,,,72.8036,r2_measured_00054,read,measured,,,,,14.3865,,ok,0.3304
36.9495,677,,,1.5956,,,,,,60.443,r2_measured_00055,read,measured,,,,,21.444,,ok,0.3762
34.5667,679,,,0.5631,,,,,,47.2045,r2_measured_00056,read,measured,,,,,11.6797,,ok,0.3341
33.5177,627,,,1.7264,,,,,,52.1617,r2_measured_00057,read,measured,,,,,16.5203,,ok,0.3372
58.9699,689,,,1.2257,,,,,,74.6855,r2_measured_00058,read,measured,,,,,14.0876,,ok,0.335
57.2348,419,,,0.3134,,,,,,65.606,r2_measured_00059,read,measured,,,,,7.4972,,ok,0.5038
55.0751,567,,,1.1211,,,,,,74.6745,r2_measured_00060,read,measured,,,,,18.0853,,ok,0.3304
55.4133,663,,,2.6018,,,,,,78.6016,r2_measured_00061,read,measured,,,,,20.1087,,ok,0.3974
52.7101,627,,,1.24,,,,,,72.936,r2_measured_00062,read,measured,,,,,18.5513,,ok,0.3545
54.5412,688,,,3.4424,,,,,,82.8126,r2_measured_00063,read,measured,,,,,24.411,,ok,0.3497
54.7648,627,,,3.3194,,,,,,80.8459,r2_measured_00064,read,measured,,,,,22.3341,,ok,0.3573
50.9024,662,,,1.7395,,,,,,65.167,r2_measured_00065,read,measured,,,,,12.1369,,ok,0.326
48.9353,674,,,1.4408,,,,,,64.5235,r2_measured_00066,read,measured,,,,,13.742,,ok,0.3405
45.8615,679,,,2.0608,,,,,,74.8562,r2_measured_00067,read,measured,,,,,26.4957,,ok,0.3659
47.8476,673,,,0.6369,,,,,,77.4712,r2_measured_00068,read,measured,,,,,28.5735,,ok,0.3485
867.4303,626,54.7452,44.889,2.3438,404.7256,0,44.8873,1,297.0758,901.9009,r2_measured_00069,update,measured,252.1868,34.4706,1,63.9469,31.5908,46.9368,ok,0.451
45.5397,369,,,0.2489,,,,,,53.9601,r2_measured_00070,read,measured,,,,,7.7965,,ok,0.327
44.0647,418,,,2.0831,,,,,,51.9026,r2_measured_00071,read,measured,,,,,5.3784,,ok,0.3266
40.0856,416,,,0.4812,,,,,,45.579,r2_measured_00072,read,measured,,,,,4.5433,,ok,0.4175
38.6852,418,,,0.3514,,,,,,48.4529,r2_measured_00073,read,measured,,,,,9.0396,,ok,0.3271
38.0181,677,,,5.5974,,,,,,76.5533,r2_measured_00074,read,measured,,,,,32.4555,,ok,0.412
36.2119,680,,,4.4165,,,,,,60.1148,r2_measured_00075,read,measured,,,,,19.0187,,ok,0.393
27.7363,686,,,2.337,,,,,,51.1936,r2_measured_00076,read,measured,,,,,20.6531,,ok,0.3899
25.0911,507,,,1.0334,,,,,,46.3581,r2_measured_00077,read,measured,,,,,19.8077,,ok,0.3679
61.5259,509,,,1.6708,,,,,,98.267,r2_measured_00078,read,measured,,,,,34.6716,,ok,0.3406
57.3569,416,,,0.3896,,,,,,63.6197,r2_measured_00079,read,measured,,,,,5.4775,,ok,0.3409
57.4134,507,,,0.4594,,,,,,71.2444,r2_measured_00080,read,measured,,,,,12.9581,,ok,0.3567
56.3893,417,,,0.266,,,,,,65.0327,r2_measured_00081,read,measured,,,,,7.9167,,ok,0.4026
55.9846,689,,,0.9994,,,,,,88.015,r2_measured_00082,read,measured,,,,,30.6234,,ok,0.3421
53.9559,675,,,1.0149,,,,,,69.2095,r2_measured_00083,read,measured,,,,,13.8273,,ok,0.3437
52.9142,679,,,2.5743,,,,,,64.0664,r2_measured_00084,read,measured,,,,,8.1547,,ok,0.3548
51.9922,417,,,0.2635,,,,,,57.8093,r2_measured_00085,read,measured,,,,,5.1615,,ok,0.3414
51.8334,628,,,0.4495,,,,,,60.8232,r2_measured_00086,read,measured,,,,,7.9287,,ok,0.5393
50.233,679,,,5.5627,,,,,,76.3423,r2_measured_00087,read,measured,,,,,20.0865,,ok,0.393
49.6937,659,,,3.0214,,,,,,66.5328,r2_measured_00088,read,measured,,,,,13.379,,ok,0.368
36.3168,507,,,4.2982,,,,,,60.2884,r2_measured_00089,read,measured,,,,,19.2666,,ok,0.3493
34.863,672,,,0.7173,,,,,,68.4518,r2_measured_00090,read,measured,,,,,32.4481,,ok,0.3406
29.5255,566,,,2.4733,,,,,,49.9112,r2_measured_00091,read,measured,,,,,17.4751,,ok,0.3705
32.9173,628,,,2.5607,,,,,,49.7703,r2_measured_00092,read,measured,,,,,13.8854,,ok,0.3385
51.9067,679,,,1.5401,,,,,,71.6871,r2_measured_00093,read,measured,,,,,17.8276,,ok,0.341
54.0836,677,,,0.916,,,,,,68.5858,r2_measured_00094,read,measured,,,,,13.0215,,ok,0.4979
49.1077,627,,,1.9082,,,,,,57.9581,r2_measured_00095,read,measured,,,,,6.5336,,ok,0.3445
49.2701,508,,,0.4099,,,,,,62.605,r2_measured_00096,read,measured,,,,,12.52,,ok,0.3485
45.7698,628,,,0.6364,,,,,,62.1218,r2_measured_00097,read,measured,,,,,15.287,,ok,0.3636
44.6091,662,,,1.1567,,,,,,58.1833,r2_measured_00098,read,measured,,,,,12.0072,,ok,0.343
72.0544,681,,,0.6543,,,,,,85.2585,r2_measured_00099,read,measured,,,,,12.1149,,ok,0.364
71.5113,568,,,5.0373,,,,,,112.4008,r2_measured_00100,read,measured,,,,,35.4128,,ok,0.3778
66.5403,680,,,0.9372,,,,,,84.0655,r2_measured_00101,read,measured,,,,,16.0976,,ok,0.4124
63.5435,566,,,1.645,,,,,,91.1858,r2_measured_00102,read,measured,,,,,25.5684,,ok,0.3616
37.7695,418,,,0.5296,,,,,,41.4832,r2_measured_00103,read,measured,,,,,2.7917,,ok,0.3393
870.3821,509,40.9745,66.9486,0.8443,409.2597,1,66.9468,1,347.1812,940.3754,r2_measured_00104,update,measured,280.2326,69.9933,1,31.9764,36.1275,40.9903,ok,0.3991
66.1088,674,,,2.0186,,,,,,92.9274,r2_measured_00105,read,measured,,,,,24.3646,,ok,0.3641
61.9587,680,,,0.8588,,,,,,78.871,r2_measured_00106,read,measured,,,,,15.5815,,ok,0.3999
57.0392,566,,,1.9002,,,,,,77.4559,r2_measured_00107,read,measured,,,,,18.1138,,ok,0.3333
46.8437,508,,,3.208,,,,,,70.2402,r2_measured_00108,read,measured,,,,,19.7657,,ok,0.365
45.9751,680,,,2.7463,,,,,,78.5559,r2_measured_00109,read,measured,,,,,29.3669,,ok,0.3952
44.6525,678,,,1.399,,,,,,79.7777,r2_measured_00110,read,measured,,,,,33.2997,,ok,0.3569
42.2422,680,,,3.0484,,,,,,52.4911,r2_measured_00111,read,measured,,,,,6.7808,,ok,0.3543
40.6542,679,,,1.7259,,,,,,70.8438,r2_measured_00112,read,measured,,,,,28.0302,,ok,0.3678
40.7087,508,,,4.5467,,,,,,75.28,r2_measured_00113,read,measured,,,,,29.6102,,ok,0.3547
36.9365,368,,,0.2485,,,,,,44.6941,r2_measured_00114,read,measured,,,,,7.1179,,ok,0.3406
34.5396,661,,,3.1034,,,,,,46.0979,r2_measured_00115,read,measured,,,,,8.0294,,ok,0.3537
33.7973,680,,,4.313,,,,,,70.3118,r2_measured_00116,read,measured,,,,,31.7613,,ok,0.3687
36.7963,508,,,2.6426,,,,,,57.0196,r2_measured_00117,read,measured,,,,,17.1554,,ok,0.3631
29.1619,627,,,1.0459,,,,,,61.4636,r2_measured_00118,read,measured,,,,,30.8427,,ok,0.3421
27.7073,660,,,1.3061,,,,,,52.4421,r2_measured_00119,read,measured,,,,,22.9846,,ok,0.3697
27.5013,679,,,0.762,,,,,,61.5892,r2_measured_00120,read,measured,,,,,32.8985,,ok,0.3526
25.7652,417,,,3.359,,,,,,31.6889,r2_measured_00121,read,measured,,,,,2.146,,ok,0.3676
21.7466,509,,,0.6599,,,,,,39.7858,r2_measured_00122,read,measured,,,,,16.9424,,ok,0.3782
60.8594,679,,,0.8794,,,,,,83.1609,r2_measured_00123,read,measured,,,,,20.9674,,ok,0.3823
59.8621,418,,,1.1085,,,,,,66.4615,r2_measured_00124,read,measured,,,,,4.8989,,ok,0.5294
59.2834,623,,,1.7604,,,,,,78.3429,r2_measured_00125,read,measured,,,,,16.8984,,ok,0.336
59.273,661,,,1.3656,,,,,,80.5201,r2_measured_00126,read,measured,,,,,19.4233,,ok,0.3849
58.646,678,,,1.4391,,,,,,68.106,r2_measured_00127,read,measured,,,,,7.3039,,ok,0.6413
54.4365,680,,,4.6009,,,,,,71.947,r2_measured_00128,read,measured,,,,,12.4844,,ok,0.3594
53.8629,688,,,1.3028,,,,,,68.7591,r2_measured_00129,read,measured,,,,,13.1625,,ok,0.3635
37.4438,679,,,1.6916,,,,,,52.6766,r2_measured_00130,read,measured,,,,,12.896,,ok,0.5788
35.1512,507,,,1.0948,,,,,,53.9462,r2_measured_00131,read,measured,,,,,17.278,,ok,0.3541
35.4841,678,,,2.0523,,,,,,43.8857,r2_measured_00132,read,measured,,,,,5.8988,,ok,0.3829
33.052,418,,,0.297,,,,,,41.3463,r2_measured_00133,read,measured,,,,,7.6089,,ok,0.3375
146.7388,566,,,2.5961,,,,,,194.8415,r2_measured_00134,read,measured,,,,,45.1193,,ok,0.3253
144.1494,674,,,1.9814,,,,,,194.4659,r2_measured_00135,read,measured,,,,,47.8999,,ok,0.3639
140.5984,680,,,3.3308,,,,,,186.8449,r2_measured_00136,read,measured,,,,,42.3006,,ok,0.52
140.2033,688,,,5.5551,,,,,,168.5304,r2_measured_00137,read,measured,,,,,22.2745,,ok,0.416
141.6701,565,,,0.7795,,,,,,177.2476,r2_measured_00138,read,measured,,,,,34.3704,,ok,0.3543
153.8484,566,,,1.3345,,,,,,188.1198,r2_measured_00139,read,measured,,,,,32.5391,,ok,0.3289
136.904,673,,,2.9182,,,,,,172.8977,r2_measured_00140,read,measured,,,,,32.6573,,ok,0.3376
135.078,507,,,3.365,,,,,,181.7234,r2_measured_00141,read,measured,,,,,42.8254,,ok,0.3561
909.3224,628,17.4196,134.8703,0.5311,428.715,1,134.8686,1,343.0431,922.907,r2_measured_00142,update,measured,208.1728,13.5846,1,68.1472,12.6417,51.9975,ok,0.3454
129.6534,566,,,0.5412,,,,,,162.5435,r2_measured_00143,read,measured,,,,,31.936,,ok,0.3406
133.2231,680,,,1.7507,,,,,,156.8571,r2_measured_00144,read,measured,,,,,21.4484,,ok,0.357
128.0508,678,,,0.9476,,,,,,174.9082,r2_measured_00145,read,measured,,,,,45.4993,,ok,0.336
135.1338,680,,,1.5107,,,,,,161.5965,r2_measured_00146,read,measured,,,,,24.3521,,ok,0.5217
907.1991,679,15.1717,124.0979,0.655,506.8286,0,124.096,1,338.5663,926.4004,r2_measured_00147,update,measured,214.4684,19.2013,1,0.0059,18.1253,46.6266,ok,0.3451
123.6729,416,,,0.2899,,,,,,150.4128,r2_measured_00148,read,measured,,,,,26.0113,,ok,0.3715
133.4515,369,,,0.2426,,,,,,144.6875,r2_measured_00149,read,measured,,,,,10.564,,ok,0.3755
131.3341,679,,,0.7639,,,,,,174.3798,r2_measured_00150,read,measured,,,,,41.8865,,ok,0.3247
117.883,626,,,1.6217,,,,,,153.311,r2_measured_00151,read,measured,,,,,33.3774,,ok,0.3541
127.3499,680,,,3.5141,,,,,,151.6016,r2_measured_00152,read,measured,,,,,20.2566,,ok,0.3762
117.8189,367,,,6.2426,,,,,,136.6,r2_measured_00153,read,measured,,,,,12.0452,,ok,0.4311
109.8106,419,,,0.3456,,,,,,125.193,r2_measured_00154,read,measured,,,,,14.0218,,ok,0.9402
113.8275,661,,,2.1026,,,,,,147.0509,r2_measured_00155,read,measured,,,,,30.6776,,ok,0.3547
162.103,417,,,0.8158,,,,,,190.5017,r2_measured_00156,read,measured,,,,,27.0626,,ok,0.4583
161.5092,679,,,1.4875,,,,,,206.8746,r2_measured_00157,read,measured,,,,,43.4788,,ok,0.3253
