backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
37.4541,418,,,0.3145,,,,,,40.2888,r2_measured_00000,read,measured,,,,,2.1794,,ok,0.2973
36.5166,628,,,1.5341,,,,,,42.8995,r2_measured_00001,read,measured,,,,,4.4223,,ok,0.3623
35.5416,369,,,0.4109,,,,,,38.1938,r2_measured_00002,read,measured,,,,,1.8217,,ok,0.3708
35.6489,681,,,60.4897,,,,,,107.7015,r2_measured_00003,read,measured,,,,,11.1927,,ok,0.3056
32.0815,628,,,1.1776,,,,,,41.3336,r2_measured_00004,read,measured,,,,,7.7149,,ok,0.3004
35.7665,659,,,1.8048,,,,,,48.1868,r2_measured_00005,read,measured,,,,,9.2248,,ok,1.3146
36.1367,679,,,2.7098,,,,,,113.1817,r2_measured_00006,read,measured,,,,,73.921,,ok,0.3435
31.1692,568,,,0.5603,,,,,,42.9143,r2_measured_00007,read,measured,,,,,10.8029,,ok,0.3254
6.9687,689,,,2.6171,,,,,,73.5697,r2_measured_00008,read,measured,,,,,63.5291,,ok,0.3761
6.1277,677,,,2.6739,,,,,,75.8029,r2_measured_00009,read,measured,,,,,66.5651,,ok,0.3219
65.2179,679,,,0.501,,,,,,77.3325,r2_measured_00010,read,measured,,,,,11.2358,,ok,0.3109
63.8601,567,,,1.2407,,,,,,75.0116,r2_measured_00011,read,measured,,,,,9.4299,,ok,0.4189
62.733,418,,,0.2562,,,,,,65.9976,r2_measured_00012,read,measured,,,,,2.5807,,ok,0.3508
65.3919,674,,,1.3359,,,,,,74.6315,r2_measured_00013,read,measured,,,,,7.5142,,ok,0.3249
8.3033,506,,,1.223,,,,,,16.2887,r2_measured_00014,read,measured,,,,,6.3762,,ok,0.3095
10.9958,663,,,2.2584,,,,,,27.617,r2_measured_00015,read,measured,,,,,13.8993,,ok,0.4004
8.9434,624,,,1.6645,,,,,,14.9094,r2_measured_00016,read,measured,,,,,3.9337,,ok,0.3146
