backend_ms,candidate_count,candidate_fetch_ms,commit_ms,dense_scoring_ms,dense_upsert_ms,fresh_hit_at_10,full_write_ack_call_ms,graph_projection_ok,graph_visible_ms,latency_ms,op_id,op_type,phase,projection_fetch_ms,ranking_ms,relation_candidate_ok,relation_check_ms,sparse_scoring_ms,sparse_upsert_ms,status,zscore_fusion_ms
89.4593,660,,,2.2342,,,,,,94.9152,r0_measured_00000,read,measured,,,,,2.8466,,ok,0.3111
87.1133,674,,,0.8793,,,,,,96.3492,r0_measured_00001,read,measured,,,,,7.9906,,ok,0.3072
87.2605,663,,,1.4692,,,,,,93.3358,r0_measured_00002,read,measured,,,,,3.9884,,ok,0.5444
86.1298,626,,,4.2209,,,,,,96.4779,r0_measured_00003,read,measured,,,,,5.755,,ok,0.294
80.9574,565,,,3.1828,,,,,,85.7143,r0_measured_00004,read,measured,,,,,1.1608,,ok,0.3298
86.8984,663,,,0.4855,,,,,,98.0752,r0_measured_00005,read,measured,,,,,10.203,,ok,0.4215
87.0568,663,,,1.7231,,,,,,96.435,r0_measured_00006,read,measured,,,,,7.2303,,ok,0.3504
85.7566,418,,,0.3004,,,,,,88.9105,r0_measured_00007,read,measured,,,,,2.4745,,ok,0.3158
23.9031,565,,,0.8393,,,,,,31.0398,r0_measured_00008,read,measured,,,,,5.8972,,ok,0.3347
14.1341,661,,,2.4583,,,,,,18.1273,r0_measured_00009,read,measured,,,,,1.0471,,ok,0.4055
15.1605,662,,,1.2325,,,,,,22.2024,r0_measured_00010,read,measured,,,,,5.3912,,ok,0.3466
15.5431,685,,,2.011,,,,,,26.0833,r0_measured_00011,read,measured,,,,,7.8008,,ok,0.6431
12.7187,565,,,0.7456,,,,,,18.6072,r0_measured_00012,read,measured,,,,,4.685,,ok,0.379
12.8256,418,,,0.3357,,,,,,15.2852,r0_measured_00013,read,measured,,,,,1.7217,,ok,0.3509
11.55,678,,,1.5594,,,,,,20.9858,r0_measured_00014,read,measured,,,,,7.4658,,ok,0.3449
194.7056,681,11.2101,10.523,1.2099,73.787,1,10.5213,1,46.5698,201.8016,r0_measured_00015,update,measured,36.0468,7.096,1,8.7007,5.4752,54.438,ok,0.3445
12.2458,567,,,2.4317,,,,,,16.2016,r0_measured_00016,read,measured,,,,,1.0945,,ok,0.3665
12.8653,685,,,0.6464,,,,,,21.5856,r0_measured_00017,read,measured,,,,,7.627,,ok,0.37
10.8968,680,,,1.2709,,,,,,14.9893,r0_measured_00018,read,measured,,,,,2.332,,ok,0.3815
9.7785,564,,,1.1028,,,,,,25.1651,r0_measured_00019,read,measured,,,,,13.8491,,ok,0.3653
8.8658,687,,,3.0289,,,,,,14.8067,r0_measured_00020,read,measured,,,,,2.5186,,ok,0.3274
7.4263,565,,,1.812,,,,,,19.5411,r0_measured_00021,read,measured,,,,,9.9063,,ok,0.329
