op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r2_measured_00050,neo4j-native,8,2,lr000010::conv-50_qa_124,lr000010::conv-50,lr000010::conv-50_session_23_D23:11,4.1393,5.9974,31.0078,74.1304,199.342,6.7383,0.5522,0.3429,281.1711,1,1,566
r2_measured_00069,neo4j-native,8,2,lr000000::conv-42_qa_34,lr000000::conv-42,lr000000::conv-42_session_3_D3:17,4.8015,6.7562,37.7491,101.9281,212.2804,3.2426,0.3771,0.3024,,0,1,626
r2_measured_00104,neo4j-native,8,2,lr000014::conv-49_qa_67,lr000014::conv-49,lr000014::conv-49_session_16_D16:24,4.3744,6.7863,27.671,67.6701,201.9072,3.8184,0.4536,0.3978,274.3155,1,1,508
r2_measured_00142,neo4j-native,8,2,lr000005::conv-42_qa_180,lr000005::conv-42,lr000005::conv-42_session_25_D25:19,3.0055,5.3368,30.9672,72.4939,239.3455,2.3783,0.5235,0.3306,315.1407,1,1,628
r2_measured_00147,neo4j-native,8,2,lr000000::conv-43_qa_113,lr000000::conv-43,lr000000::conv-43_session_12_D12:21,4.5485,6.3186,34.9282,84.5371,233.5047,2.7427,0.5264,0.344,,0,1,679
r2_measured_00165,neo4j-native,8,2,lr000014::conv-43_qa_174,lr000014::conv-43,lr000014::conv-43_session_28_D28:10,4.1351,6.569,32.3311,83.9376,292.6036,3.9611,0.6,0.364,381.5313,1,1,679
r2_measured_00166,neo4j-native,8,2,lr000011::conv-49_qa_66,lr000011::conv-49,lr000011::conv-49_session_16_D16:10,4.2977,6.3655,30.8502,81.7205,205.6501,3.6031,0.4226,0.3215,291.775,1,1,509
r2_measured_00173,neo4j-native,8,2,lr000000::conv-47_qa_41,lr000000::conv-47,lr000000::conv-47_session_19_D19:12,4.3515,6.6596,35.8392,86.216,242.971,2.5876,0.6474,0.3485,,0,1,686
r2_measured_00182,neo4j-native,8,2,lr000014::conv-41_qa_111,lr000014::conv-41,lr000014::conv-41_session_19_D19:3,4.32,6.7648,33.7467,90.3646,238.6463,5.6438,0.4651,0.3246,335.515,1,1,661
r2_measured_00216,neo4j-native,8,2,lr000002::conv-42_qa_140,lr000002::conv-42,lr000002::conv-42_session_17_D17:8,3.3846,5.8261,28.9266,82.5899,215.6315,4.7554,0.7421,0.3466,,0,1,629
r2_measured_00237,neo4j-native,8,2,lr000012::conv-44_qa_1,lr000012::conv-44,lr000012::conv-44_session_1_D1:2,4.4737,5.9842,30.524,77.3463,308.535,6.9915,0.4832,0.3645,393.7978,1,1,672
r2_measured_00247,neo4j-native,8,2,lr000010::conv-48_qa_157,lr000010::conv-48,lr000010::conv-48_session_20_D20:21,3.5677,5.0827,74.0651,129.8722,233.2306,2.7412,0.8141,0.3409,367.0691,1,1,680
