op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r1_measured_00001,cassandra-materialized,64,1,lr000013::conv-42_qa_197,lr000013::conv-42,lr000013::conv-42_session_29_D29:8,6.2438,23.5445,78.0034,249.3478,173.2305,83.3978,9.3466,0.3862,515.7876,1,1,628
r1_measured_00037,cassandra-materialized,64,1,lr000014::conv-41_qa_98,lr000014::conv-41,lr000014::conv-41_session_15_D15:13,34.3692,202.4256,291.3002,639.4279,204.8591,139.9498,0.5591,0.4548,1520.6496,1,1,661
r1_measured_00048,cassandra-materialized,64,1,lr000013::conv-30_qa_9,lr000013::conv-30,lr000013::conv-30_session_2_D2:5,176.1918,331.4698,414.2612,816.1605,70.2565,0.2664,0.2163,0.3284,887.2759,1,1,366
r1_measured_00073,cassandra-materialized,64,1,lr000008::conv-26_qa_68,lr000008::conv-26,lr000008::conv-26_session_16_D16:8,177.8301,306.1022,392.5855,797.2372,147.2552,3.6871,10.899,0.3822,959.529,1,1,417
r1_measured_00080,cassandra-materialized,64,1,lr000002::conv-41_qa_0,lr000002::conv-41,lr000002::conv-41_session_13_D13:16,170.8773,308.9037,367.6408,955.7167,187.0657,136.317,8.5026,0.4336,1288.13,1,1,663
r1_measured_00119,cassandra-materialized,64,1,lr000001::conv-42_qa_19,lr000001::conv-42,lr000001::conv-42_session_8_D8:4,150.0041,369.4697,454.7866,1092.062,301.2572,92.1052,2.3084,0.3911,1488.1979,1,1,627
r1_measured_00125,cassandra-materialized,64,1,lr000012::conv-30_qa_41,lr000012::conv-30,lr000012::conv-30_session_1_D1:17,165.4924,385.4705,443.9395,755.8792,162.6913,75.0536,0.2782,0.3752,994.3415,1,1,368
r1_measured_00155,cassandra-materialized,64,1,lr000014::conv-41_qa_136,lr000014::conv-41,lr000014::conv-41_session_27_D27:13,131.9169,353.0947,458.9961,1042.9164,273.2253,139.3346,0.5124,0.3878,1456.459,1,1,661
r1_measured_00169,cassandra-materialized,64,1,lr000003::conv-47_qa_93,lr000003::conv-47,lr000003::conv-47_session_12_D12:5,224.7007,386.4376,490.2166,1398.0674,132.6874,12.0968,0.6581,0.392,2349.1318,1,1,689
r1_measured_00231,cassandra-materialized,64,1,lr000003::conv-47_qa_5,lr000003::conv-47,lr000003::conv-47_session_3_D3:11,108.7539,242.7675,1184.3643,2024.7904,121.322,30.555,3.8376,0.4201,,0,1,689
