op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r0_measured_02428,cassandra-base,8,0,lr000014::conv-42_qa_22,lr000014::conv-42,lr000014::conv-42_session_12_D12:13,6.3139,36.7074,74.9772,88.3873,14.9294,9.0622,0.397,0.3518,,0,1,627
r0_measured_02449,cassandra-base,8,0,lr000012::conv-43_qa_160,lr000012::conv-43,lr000012::conv-43_session_26_D26:12,2.9322,20.5069,56.0184,86.6776,15.6897,3.7486,1.2931,0.3607,,0,1,680
r0_measured_02450,cassandra-base,8,0,lr000006::conv-42_qa_134,lr000006::conv-42,lr000006::conv-42_session_16_D16:10,9.2803,53.3662,79.1184,82.686,16.2298,1.4747,1.7141,0.3477,102.5154,1,1,627
r0_measured_02502,cassandra-base,8,0,lr000001::conv-44_qa_22,lr000001::conv-44,lr000001::conv-44_session_14_D14:1,18.0382,41.963,89.8644,93.2808,9.8163,6.8484,1.2048,0.3599,111.5749,1,1,674
r0_measured_02519,cassandra-base,8,0,lr000004::conv-48_qa_152,lr000004::conv-48,lr000004::conv-48_session_19_D19:18,8.4809,27.8465,66.5111,73.2698,10.4647,11.4918,1.6281,0.3539,97.274,1,1,681
r0_measured_02556,cassandra-base,8,0,lr000001::conv-41_qa_89,lr000001::conv-41,lr000001::conv-41_session_12_D12:3,6.6514,25.1533,67.4154,121.2841,9.3294,7.532,2.4543,0.3669,141.0428,1,1,663
r0_measured_02618,cassandra-base,8,0,lr000005::conv-44_qa_113,lr000005::conv-44,lr000005::conv-44_session_25_D25:8,8.7579,20.0474,62.4215,126.9278,13.9035,2.6505,3.4918,0.4097,147.451,1,1,675
r0_measured_02641,cassandra-base,8,0,lr000009::conv-26_qa_73,lr000009::conv-26,lr000009::conv-26_session_17_D17:8,5.6707,15.7564,40.8543,48.388,11.6752,1.8887,0.2714,0.381,62.6586,1,1,418
r0_measured_02652,cassandra-base,8,0,lr000014::conv-49_qa_27,lr000014::conv-49,lr000014::conv-49_session_5_D5:7,14.8055,37.6248,67.8949,73.7169,14.6842,11.4737,0.4396,0.5312,,0,1,507
r0_measured_02674,cassandra-base,8,0,lr000015::conv-41_qa_49,lr000015::conv-41,lr000015::conv-41_session_26_D26:1,4.5294,24.577,88.0144,136.2519,29.9572,8.7634,0.8357,0.36,176.2358,1,1,662
r0_measured_02678,cassandra-base,8,0,lr000003::conv-43_qa_100,lr000003::conv-43,lr000003::conv-43_session_9_D9:4,21.9174,44.7547,106.7429,122.1397,22.7329,15.2923,1.3033,0.3985,161.9443,1,1,679
r0_measured_02684,cassandra-base,8,0,lr000011::conv-50_qa_29,lr000011::conv-50,lr000011::conv-50_session_5_D5:9,21.5502,36.7856,68.3922,76.0525,29.7431,6.449,0.528,0.3495,,0,1,568
r0_measured_02688,cassandra-base,8,0,lr000004::conv-43_qa_137,lr000004::conv-43,lr000004::conv-43_session_19_D19:3,19.8606,48.5575,86.374,109.0542,25.385,28.5441,0.5942,0.3714,164.0158,1,1,678
r0_measured_02696,cassandra-base,8,0,lr000015::conv-41_qa_118,lr000015::conv-41,lr000015::conv-41_session_21_D21:24,37.4621,53.959,108.9804,146.1264,8.7283,22.266,0.8503,0.3866,,0,1,663
r0_measured_02703,cassandra-base,8,0,lr000014::conv-50_qa_17,lr000014::conv-50,lr000014::conv-50_session_9_D9:1,8.4058,44.7356,84.1468,101.9372,11.6775,10.9385,0.503,0.3912,,0,1,566
r0_measured_02728,cassandra-base,8,0,lr000015::conv-50_qa_112,lr000015::conv-50,lr000015::conv-50_session_19_D19:9,4.925,17.1735,129.7782,138.7291,16.6308,5.3307,2.083,0.3716,163.2068,1,1,565
r0_measured_02750,cassandra-base,8,0,lr000013::conv-44_qa_13,lr000013::conv-44,lr000013::conv-44_session_9_D9:1,7.4498,21.02,59.535,61.9669,12.7034,8.6952,0.5075,0.3434,84.2774,1,1,675
r0_measured_02786,cassandra-base,8,0,lr000014::conv-49_qa_21,lr000014::conv-49,lr000014::conv-49_session_5_D5:1,9.2273,28.2795,56.4646,173.1781,6.4549,8.0841,0.372,0.3624,188.5098,1,1,508
r0_measured_02797,cassandra-base,8,0,lr000009::conv-26_qa_14,lr000009::conv-26,lr000009::conv-26_session_4_D4:15,11.0036,34.0734,61.4029,148.6954,7.4106,2.0945,0.2619,0.3508,158.8649,1,1,419
