op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r1_measured_00001,neo4j-native,64,1,lr000013::conv-42_qa_197,lr000013::conv-42,lr000013::conv-42_session_29_D29:8,3.6791,6.3705,49.2641,540.1149,2117.3398,36.5721,2.5934,0.4212,2697.1397,1,1,628
r1_measured_00037,neo4j-native,64,1,lr000014::conv-41_qa_98,lr000014::conv-41,lr000014::conv-41_session_15_D15:13,6.7082,25.3766,196.2312,621.2929,2146.3816,13.9388,1.0522,0.3726,2783.1289,1,1,660
r1_measured_00048,neo4j-native,64,1,lr000013::conv-30_qa_9,lr000013::conv-30,lr000013::conv-30_session_2_D2:5,28.5537,45.1899,83.421,409.5491,1117.2873,1.3498,0.333,0.3691,1528.9594,1,1,366
r1_measured_00073,neo4j-native,64,1,lr000008::conv-26_qa_68,lr000008::conv-26,lr000008::conv-26_session_16_D16:8,7.0785,19.7035,115.0303,429.0309,1399.2924,3.5571,0.9177,0.3453,1833.2184,1,1,417
r1_measured_00080,neo4j-native,64,1,lr000002::conv-41_qa_0,lr000002::conv-41,lr000002::conv-41_session_13_D13:16,7.5144,19.1459,73.6933,643.0423,2385.0143,17.3199,0.5351,0.3705,3046.36,1,1,663
r1_measured_00119,neo4j-native,64,1,lr000001::conv-42_qa_19,lr000001::conv-42,lr000001::conv-42_session_8_D8:4,12.8269,28.6038,84.8055,570.4157,2323.6808,34.6847,2.1158,0.4512,2931.4588,1,1,627
r1_measured_00125,neo4j-native,64,1,lr000012::conv-30_qa_41,lr000012::conv-30,lr000012::conv-30_session_1_D1:17,11.9318,24.0549,67.3076,329.9833,1224.9844,12.5134,0.2825,0.3785,1568.2052,1,1,368
r1_measured_00155,neo4j-native,64,1,lr000014::conv-41_qa_136,lr000014::conv-41,lr000014::conv-41_session_27_D27:13,7.2512,17.6031,71.705,656.4357,2394.3626,22.6749,1.8958,0.4376,3075.9129,1,1,661
r1_measured_00169,neo4j-native,64,1,lr000003::conv-47_qa_93,lr000003::conv-47,lr000003::conv-47_session_12_D12:5,16.6175,32.6475,92.2324,655.9985,2421.1018,34.3778,2.0064,0.3685,3113.9412,1,1,687
r1_measured_00231,neo4j-native,64,1,lr000003::conv-47_qa_5,lr000003::conv-47,lr000003::conv-47_session_3_D3:11,9.5674,24.5848,114.7627,658.8103,2710.136,13.6323,1.0311,0.3685,,0,1,688
r1_measured_00233,neo4j-native,64,1,lr000014::conv-48_qa_112,lr000014::conv-48,lr000014::conv-48_session_6_D6:4,37.1858,54.0146,102.5607,597.6776,2636.3484,25.6672,2.059,0.4455,3262.2978,1,1,679
r1_measured_00273,neo4j-native,64,1,lr000005::conv-42_qa_44,lr000005::conv-42,lr000005::conv-42_session_22_D22:2,14.8517,50.4819,109.1504,577.4783,2787.5642,53.5631,1.0104,0.3553,3420.0704,1,1,629
r1_measured_00274,neo4j-native,64,1,lr000013::conv-50_qa_59,lr000013::conv-50,lr000013::conv-50_session_2_D2:1,4.8328,20.6147,108.0949,507.7857,2666.4287,10.9905,0.453,0.38,3186.1312,1,1,564
