op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r1_measured_00001,cassandra-base,1,1,lr000013::conv-42_qa_197,lr000013::conv-42,lr000013::conv-42_session_29_D29:8,10.1942,29.1575,51.1922,53.6876,6.8813,0.7234,0.4549,0.4009,62.2607,1,1,628
r1_measured_00037,cassandra-base,1,1,lr000014::conv-41_qa_98,lr000014::conv-41,lr000014::conv-41_session_15_D15:13,10.0441,30.9442,52.361,54.7103,3.9601,0.6036,0.3869,0.3506,60.0822,1,1,660
r1_measured_00048,cassandra-base,1,1,lr000013::conv-30_qa_9,lr000013::conv-30,lr000013::conv-30_session_2_D2:5,7.648,27.3569,37.8987,39.3041,8.7289,0.337,0.232,0.3653,49.0199,1,1,366
r1_measured_00073,cassandra-base,1,1,lr000008::conv-26_qa_68,lr000008::conv-26,lr000008::conv-26_session_16_D16:8,15.5467,36.4195,49.9239,53.0051,4.4251,0.5569,0.348,0.412,58.812,1,1,417
r1_measured_00080,cassandra-base,1,1,lr000002::conv-41_qa_0,lr000002::conv-41,lr000002::conv-41_session_13_D13:16,3.5186,25.1153,47.4495,49.929,12.6313,0.6262,0.4282,0.3627,64.0481,1,1,663
r1_measured_00119,cassandra-base,1,1,lr000001::conv-42_qa_19,lr000001::conv-42,lr000001::conv-42_session_8_D8:4,6.4811,25.9034,50.1405,52.4882,5.7559,0.6683,0.4066,0.3781,59.7669,1,1,627
r1_measured_00125,cassandra-base,1,1,lr000012::conv-30_qa_41,lr000012::conv-30,lr000012::conv-30_session_1_D1:17,6.0357,26.1835,52.0334,54.5503,11.7489,0.7565,0.3487,0.6232,68.1146,1,1,368
r1_measured_00155,cassandra-base,1,1,lr000014::conv-41_qa_136,lr000014::conv-41,lr000014::conv-41_session_27_D27:13,8.5459,30.5546,68.1248,71.2595,10.8074,0.7612,0.4813,0.5283,83.9258,1,1,661
r1_measured_00169,cassandra-base,1,1,lr000003::conv-47_qa_93,lr000003::conv-47,lr000003::conv-47_session_12_D12:5,8.038,24.3302,45.2025,47.5918,19.1264,0.63,0.3868,0.3207,68.1157,1,1,687
r1_measured_00231,cassandra-base,1,1,lr000003::conv-47_qa_5,lr000003::conv-47,lr000003::conv-47_session_3_D3:11,13.172,29.3551,50.1848,52.5091,6.0937,0.6602,0.4708,0.338,,0,1,688
r1_measured_00233,cassandra-base,1,1,lr000014::conv-48_qa_112,lr000014::conv-48,lr000014::conv-48_session_6_D6:4,8.4078,29.0482,49.8397,52.2868,6.573,0.6827,0.4444,0.3721,60.4329,1,1,679
r1_measured_00273,cassandra-base,1,1,lr000005::conv-42_qa_44,lr000005::conv-42,lr000005::conv-42_session_22_D22:2,8.7055,28.7492,46.7735,48.9163,7.9001,0.6565,0.3769,0.3297,58.2429,1,1,629
r1_measured_00274,cassandra-base,1,1,lr000013::conv-50_qa_59,lr000013::conv-50,lr000013::conv-50_session_2_D2:1,6.8487,25.9978,58.6997,61.3377,4.853,0.6938,0.4257,0.4658,67.8713,1,1,564
r1_measured_00294,cassandra-base,1,1,lr000007::conv-48_qa_134,lr000007::conv-48,lr000007::conv-48_session_14_D14:6,7.6181,26.6159,51.4611,54.6015,4.4304,0.8656,0.5689,0.5403,61.1026,1,1,678
r1_measured_00297,cassandra-base,1,1,lr000013::conv-26_qa_101,lr000013::conv-26,lr000013::conv-26_session_5_D5:8,7.3591,27.2256,41.1957,42.6221,6.2957,0.5138,0.2621,0.3479,50.093,1,1,418
r1_measured_00304,cassandra-base,1,1,lr000016::conv-42_qa_163,lr000016::conv-42,lr000016::conv-42_session_23_D23:17,5.6355,26.5722,113.9206,115.8687,8.8062,0.583,0.3656,0.3214,126.0068,1,1,626
r1_measured_00313,cassandra-base,1,1,lr000014::conv-47_qa_37,lr000014::conv-47,lr000014::conv-47_session_17_D17:28,4.5943,22.3677,41.6246,44.0631,10.7408,0.6333,0.3834,0.3409,56.2252,1,1,685
r1_measured_00319,cassandra-base,1,1,lr000008::conv-48_qa_161,lr000008::conv-48,lr000008::conv-48_session_22_D22:6,7.2639,26.2868,70.5477,73.7762,11.3962,0.8452,0.4886,0.4336,87.0237,1,1,681
r1_measured_00325,cassandra-base,1,1,lr000009::conv-42_qa_85,lr000009::conv-42,lr000009::conv-42_session_29_D29:1,8.2559,28.5438,55.2166,57.9416,11.4099,0.6457,0.4387,0.4159,70.9264,1,1,629
