op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r2_measured_03007,neo4j-native,16,2,lr000014::conv-41_qa_67,lr000014::conv-41,lr000014::conv-41_session_1_D1:12,2.9784,5.7263,45.7731,159.7661,477.8997,9.467,0.6781,0.3467,,0,1,663
r2_measured_03020,neo4j-native,16,2,lr000015::conv-26_qa_91,lr000015::conv-26,lr000015::conv-26_session_4_D4:3,5.466,7.8791,27.9232,96.0892,323.0228,1.2637,0.2557,0.3536,421.04,1,1,418
r2_measured_03033,neo4j-native,16,2,lr000003::conv-50_qa_60,lr000003::conv-50,lr000003::conv-50_session_4_D4:24,4.1251,6.8271,41.9934,144.5653,406.9139,2.6664,1.5377,0.3451,,0,1,567
r2_measured_03054,neo4j-native,16,2,lr000009::conv-49_qa_61,lr000009::conv-49,lr000009::conv-49_session_13_D13:4,4.5321,6.5821,32.1303,109.9002,391.9165,6.0357,0.4691,0.3515,508.7375,1,1,506
r2_measured_03085,neo4j-native,16,2,lr000006::conv-41_qa_52,lr000006::conv-41,lr000006::conv-41_session_27_D27:8,6.8193,9.2182,42.0568,151.7919,535.0933,3.5166,0.8211,0.3592,691.6614,1,1,663
r2_measured_03099,neo4j-native,16,2,lr000016::conv-42_qa_147,lr000016::conv-42,lr000016::conv-42_session_18_D18:9,5.111,7.5609,42.9168,144.8141,536.6292,10.2226,0.5559,0.3424,692.6413,1,1,629
r2_measured_03111,neo4j-native,16,2,lr000013::conv-42_qa_166,lr000013::conv-42,lr000013::conv-42_session_23_D23:18,4.2962,8.0793,37.6118,147.1267,526.4032,7.2178,0.5527,0.3319,681.7057,1,1,626
r2_measured_03128,neo4j-native,16,2,lr000011::conv-42_qa_73,lr000011::conv-42,lr000011::conv-42_session_28_D28:22,3.5148,6.3612,33.2505,141.649,517.8456,6.6173,0.8599,0.4248,667.492,1,1,629
r2_measured_03152,neo4j-native,16,2,lr000014::conv-47_qa_1,lr000014::conv-47,lr000014::conv-47_session_1_D1:26,6.8728,11.6646,42.8809,148.8449,536.4212,1.8388,0.4685,0.3535,,0,1,688
r2_measured_03166,neo4j-native,16,2,lr000001::conv-26_qa_137,lr000001::conv-26,lr000001::conv-26_session_17_D17:12,4.647,7.9516,32.4871,103.8685,306.0796,2.3709,0.2569,0.3196,,0,1,418
r2_measured_03191,neo4j-native,16,2,lr000000::conv-42_qa_91,lr000000::conv-42,lr000000::conv-42_session_9_D9:14,4.7755,7.7367,38.8304,148.2212,520.2619,5.11,0.5987,0.3443,674.6028,1,1,628
r2_measured_03205,neo4j-native,16,2,lr000001::conv-41_qa_76,lr000001::conv-41,lr000001::conv-41_session_7_D7:4,3.2846,6.0576,37.7912,146.4014,465.7173,10.9352,0.4439,0.3445,623.9135,1,1,662
r2_measured_03233,neo4j-native,16,2,lr000003::conv-47_qa_145,lr000003::conv-47,lr000003::conv-47_session_29_D29:12,4.4662,8.5466,46.0353,162.9046,586.364,9.2937,0.514,0.3869,759.5525,1,1,689
r2_measured_03257,neo4j-native,16,2,lr000007::conv-43_qa_83,lr000007::conv-43,lr000007::conv-43_session_4_D4:5,5.4417,9.3663,39.1656,156.5172,606.0553,10.5463,0.9287,0.4365,774.5812,1,1,680
r2_measured_03281,neo4j-native,16,2,lr000009::conv-49_qa_31,lr000009::conv-49,lr000009::conv-49_session_9_D9:1,3.2949,6.7634,35.8273,126.7288,470.1756,9.1686,0.5989,0.3438,607.0825,1,1,507
r2_measured_03285,neo4j-native,16,2,lr000012::conv-49_qa_72,lr000012::conv-49,lr000012::conv-49_session_20_D20:6,5.0515,9.8463,38.9135,158.8177,387.2881,5.6476,0.3513,0.3547,552.5311,1,1,508
r2_measured_03286,neo4j-native,16,2,lr000002::conv-48_qa_188,lr000002::conv-48,lr000002::conv-48_session_29_D29:27,3.7786,7.1551,40.1061,195.6886,477.2906,8.1054,0.4879,0.3497,,0,1,681
r2_measured_03292,neo4j-native,16,2,lr000006::conv-48_qa_8,lr000006::conv-48,lr000006::conv-48_session_1_D1:15,4.1092,7.3602,33.8768,145.8165,470.6605,7.9398,0.4675,0.3388,625.3022,1,1,680
r2_measured_03325,neo4j-native,16,2,lr000013::conv-48_qa_110,lr000013::conv-48,lr000013::conv-48_session_5_D5:7,6.0465,8.6101,36.5835,155.6262,565.9536,8.4806,0.4901,0.3603,730.9882,1,1,681
r2_measured_03337,neo4j-native,16,2,lr000010::conv-42_qa_70,lr000010::conv-42,lr000010::conv-42_session_25_D25:21,4.7124,8.0723,44.8129,159.4076,545.1533,6.1565,0.4165,0.3329,,0,1,625
r2_measured_03342,neo4j-native,16,2,lr000016::conv-48_qa_170,lr000016::conv-48,lr000016::conv-48_session_24_D24:5,4.7395,8.2475,34.9062,149.3628,588.2785,7.8115,0.4531,0.339,746.3168,1,1,679
r2_measured_03349,neo4j-native,16,2,lr000008::conv-41_qa_109,lr000008::conv-41,lr000008::conv-41_session_18_D18:17,4.8812,8.1649,84.5034,193.1222,506.296,6.8322,0.4492,0.3618,707.1372,1,1,663
r2_measured_03361,neo4j-native,16,2,lr000012::conv-49_qa_80,lr000012::conv-49,lr000012::conv-49_session_24_D24:3,5.9349,7.9596,31.5293,121.8234,430.6509,8.9236,0.5675,0.3407,562.3711,1,1,509
r2_measured_03370,neo4j-native,16,2,lr000009::conv-49_qa_52,lr000009::conv-49,lr000009::conv-49_session_10_D10:12,3.5347,6.5725,30.2991,115.0734,391.8146,6.3259,0.7814,0.3594,,0,1,508
r2_measured_03376,neo4j-native,16,2,lr000013::conv-43_qa_118,lr000013::conv-43,lr000013::conv-43_session_13_D13:8,5.3753,7.8962,38.6037,151.5479,540.4452,9.494,0.5822,0.337,702.4739,1,1,679
r2_measured_03398,neo4j-native,16,2,lr000007::conv-41_qa_44,lr000007::conv-41,lr000007::conv-41_session_25_D25:2,3.783,7.2388,43.2857,151.6667,593.9677,4.3691,0.5374,0.4006,751.0277,1,1,662
r2_measured_03405,neo4j-native,16,2,lr000000::conv-47_qa_96,lr000000::conv-47,lr000000::conv-47_session_13_D13:15,5.2914,8.5044,41.7231,155.004,567.9676,6.5953,0.495,0.3441,730.4857,1,1,687
r2_measured_03479,neo4j-native,16,2,lr000009::conv-30_qa_48,lr000009::conv-30,lr000009::conv-30_session_3_D3:4,5.4237,8.9543,31.0327,87.5624,279.9058,1.1502,0.2461,0.3243,369.2386,1,1,369
r2_measured_03498,neo4j-native,16,2,lr000010::conv-42_qa_73,lr000010::conv-42,lr000010::conv-42_session_28_D28:22,3.6088,6.2388,74.0845,186.4474,501.4627,6.6089,0.4491,0.3653,695.404,1,1,626
r2_measured_03501,neo4j-native,16,2,lr000008::conv-44_qa_117,lr000008::conv-44,lr000008::conv-44_session_27_D27:2,4.1914,7.9538,39.0017,170.8536,511.3137,7.5818,0.4428,0.3382,690.5983,1,1,675
r2_measured_03503,neo4j-native,16,2,lr000014::conv-26_qa_115,lr000014::conv-26,lr000014::conv-26_session_8_D8:12,3.3655,5.7472,23.5376,103.3812,317.4719,1.3429,0.2755,0.3314,422.8593,1,1,419
r2_measured_03514,neo4j-native,16,2,lr000011::conv-26_qa_121,lr000011::conv-26,lr000011::conv-26_session_11_D11:3,3.6545,6.3749,33.4307,105.637,313.4266,1.8572,0.2798,0.3434,421.6051,1,1,419
r2_measured_03541,neo4j-native,16,2,lr000007::conv-41_qa_27,lr000007::conv-41,lr000007::conv-41_session_15_D15:11,4.947,7.9455,41.521,156.8613,539.8129,3.0903,0.4212,0.3306,,0,1,663
r2_measured_03558,neo4j-native,16,2,lr000007::conv-49_qa_131,lr000007::conv-49,lr000007::conv-49_session_18_D18:8,4.8699,8.5738,37.164,126.8697,406.9885,14.1285,0.4138,0.3944,548.8649,1,1,508
r2_measured_03585,neo4j-native,16,2,lr000006::conv-42_qa_67,lr000006::conv-42,lr000006::conv-42_session_8_D8:3,4.1159,6.4141,38.5441,143.3396,530.4691,4.2177,0.6089,0.375,,0,1,627
r2_measured_03608,neo4j-native,16,2,lr000005::conv-41_qa_55,lr000005::conv-41,lr000005::conv-41_session_29_D29:1,2.9571,5.2554,37.4056,159.3139,489.0315,8.6771,0.6254,0.3221,658.0462,1,1,662
r2_measured_03632,neo4j-native,16,2,lr000006::conv-44_qa_16,lr000006::conv-44,lr000006::conv-44_session_11_D11:7,4.4479,7.0546,36.9067,160.9917,542.1369,5.354,0.6483,0.3501,,0,1,675
r2_measured_03676,neo4j-native,16,2,lr000012::conv-44_qa_95,lr000012::conv-44,lr000012::conv-44_session_19_D19:20,4.501,7.3215,35.3813,151.3802,538.0933,5.6302,0.5618,0.3246,696.0554,1,1,673
r2_measured_03690,neo4j-native,16,2,lr000000::conv-47_qa_147,lr000000::conv-47,lr000000::conv-47_session_30_D30:18,4.1295,7.6045,45.0764,159.9585,570.0366,10.075,0.9444,0.4017,741.5095,1,1,688
r2_measured_03700,neo4j-native,16,2,lr000002::conv-41_qa_1,lr000002::conv-41,lr000002::conv-41_session_2_D2:1,4.6007,8.5568,37.5826,174.3825,522.4016,3.6825,0.8652,0.3717,701.7911,1,1,663
r2_measured_03705,neo4j-native,16,2,lr000012::conv-42_qa_43,lr000012::conv-42,lr000012::conv-42_session_17_D17:14,3.8811,7.4901,35.9069,136.8556,482.9752,7.7502,0.8136,0.3506,628.8278,1,1,628
r2_measured_03744,neo4j-native,16,2,lr000014::conv-47_qa_92,lr000014::conv-47,lr000014::conv-47_session_11_D11:3,8.7631,12.8805,44.1496,162.2442,497.5639,15.2157,0.5015,0.3542,675.9667,1,1,689
r2_measured_03766,neo4j-native,16,2,lr000003::conv-48_qa_24,lr000003::conv-48,lr000003::conv-48_session_4_D4:14,4.9825,9.0189,37.493,206.1808,590.6884,5.1333,0.9864,0.3684,803.4393,1,1,680
r2_measured_03767,neo4j-native,16,2,lr000016::conv-49_qa_40,lr000016::conv-49,lr000016::conv-49_session_8_D8:12,4.1031,7.2892,37.6379,154.7784,469.3349,8.1929,0.6826,0.3392,633.3955,1,1,507
r2_measured_03768,neo4j-native,16,2,lr000016::conv-49_qa_72,lr000016::conv-49,lr000016::conv-49_session_20_D20:6,2.8937,27.5985,60.1603,239.8691,450.9492,6.0639,0.3463,0.3419,697.6304,1,1,507
r2_measured_03782,neo4j-native,16,2,lr000009::conv-50_qa_60,lr000009::conv-50,lr000009::conv-50_session_4_D4:24,5.0006,7.0349,37.8512,142.3595,422.6387,2.5767,1.5661,0.3533,,0,1,568
r2_measured_03823,neo4j-native,16,2,lr000004::conv-50_qa_40,lr000004::conv-50,lr000004::conv-50_session_20_D20:8,4.0368,6.9869,37.1157,157.2088,423.8119,7.9404,0.4871,0.392,589.9336,1,1,567
r2_measured_03825,neo4j-native,16,2,lr000000::conv-44_qa_28,lr000000::conv-44,lr000000::conv-44_session_4_D4:23,3.6463,6.6812,37.5519,152.7983,492.481,2.3048,1.1786,0.3842,,0,1,675
r2_measured_03857,neo4j-native,16,2,lr000007::conv-49_qa_130,lr000007::conv-49,lr000007::conv-49_session_18_D18:5,5.8918,8.4834,33.8544,123.5727,405.9257,7.5323,0.6466,0.4333,,0,1,509
r2_measured_03866,neo4j-native,16,2,lr000006::conv-42_qa_134,lr000006::conv-42,lr000006::conv-42_session_16_D16:10,2.866,6.6714,36.8539,140.1658,514.4373,4.1834,0.4462,0.3443,659.6538,1,1,628
r2_measured_03890,neo4j-native,16,2,lr000001::conv-48_qa_117,lr000001::conv-48,lr000001::conv-48_session_8_D8:22,3.8706,9.1018,37.2329,177.6772,492.7653,8.0463,0.592,0.5021,,0,1,680
r2_measured_03892,neo4j-native,16,2,lr000001::conv-41_qa_59,lr000001::conv-41,lr000001::conv-41_session_30_D30:6,4.0277,7.9804,36.8524,157.673,492.894,5.864,0.4776,0.3557,657.3475,1,1,663
r2_measured_03993,neo4j-native,16,2,lr000000::conv-50_qa_15,lr000000::conv-50,lr000000::conv-50_session_8_D8:4,5.4757,9.1737,37.1487,133.5424,474.0355,3.3155,0.3861,0.3934,611.7437,1,1,567
r2_measured_04008,neo4j-native,16,2,lr000004::conv-50_qa_36,lr000004::conv-50,lr000004::conv-50_session_18_D18:1,4.3235,7.3855,37.5003,131.7931,422.0328,2.2511,0.5419,0.3334,557.0113,1,1,568
r2_measured_04029,neo4j-native,16,2,lr000000::conv-26_qa_48,lr000000::conv-26,lr000000::conv-26_session_12_D12:14,4.5278,9.7304,31.3809,97.3747,338.0494,2.0429,0.3001,0.3447,,0,1,418
r2_measured_04035,neo4j-native,16,2,lr000015::conv-44_qa_99,lr000015::conv-44,lr000015::conv-44_session_21_D21:2,4.0202,6.2263,39.8045,166.1465,518.9262,6.5739,0.4571,0.3441,692.5325,1,1,674
r2_measured_04055,neo4j-native,16,2,lr000001::conv-48_qa_59,lr000001::conv-48,lr000001::conv-48_session_19_D19:13,4.1071,10.9119,62.3698,174.651,552.0928,3.3399,0.943,0.4218,731.5428,1,1,681
r2_measured_04057,neo4j-native,16,2,lr000015::conv-47_qa_145,lr000015::conv-47,lr000015::conv-47_session_29_D29:12,2.3342,22.9385,53.063,169.5468,581.2085,9.874,0.8098,0.4391,761.9716,1,1,689
r2_measured_04083,neo4j-native,16,2,lr000006::conv-42_qa_36,lr000006::conv-42,lr000006::conv-42_session_19_D19:6,4.62,8.3012,38.346,163.3172,484.3773,14.6348,0.5977,0.3715,663.3926,1,1,629
r2_measured_04111,neo4j-native,16,2,lr000005::conv-41_qa_147,lr000005::conv-41,lr000005::conv-41_session_31_D31:4,5.3445,9.4585,49.1789,177.6744,591.5118,2.5548,0.8152,0.4581,773.0816,1,1,663
r2_measured_04114,neo4j-native,16,2,lr000012::conv-47_qa_47,lr000012::conv-47,lr000012::conv-47_session_23_D23:1,5.4023,8.4287,39.6672,157.276,627.3315,3.8586,0.7334,0.3705,789.657,1,1,689
