op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r2_measured_02109,cassandra-materialized,1,2,lr000005::conv-48_qa_128,lr000005::conv-48,lr000005::conv-48_session_11_D11:10,7.4178,15.078,32.5913,35.0811,13.6805,0.5375,0.3774,0.3057,50.0429,1,1,679
r2_measured_02140,cassandra-materialized,1,2,lr000010::conv-26_qa_20,lr000010::conv-26,lr000010::conv-26_session_6_D6:4,15.4237,27.8132,44.3475,45.8778,12.1997,0.6864,0.3571,0.5028,59.699,1,1,419
r2_measured_02156,cassandra-materialized,1,2,lr000009::conv-42_qa_71,lr000009::conv-42,lr000009::conv-42_session_11_D11:9,11.0809,45.9299,131.033,133.2071,17.7408,0.5638,0.3434,0.3106,152.2259,1,1,627
r2_measured_02158,cassandra-materialized,1,2,lr000014::conv-26_qa_82,lr000014::conv-26,lr000014::conv-26_session_2_D2:2,2.7632,10.5933,25.8722,27.6737,3.1446,0.5498,0.2865,0.4008,32.1188,1,1,417
r2_measured_02165,cassandra-materialized,1,2,lr000014::conv-26_qa_56,lr000014::conv-26,lr000014::conv-26_session_14_D14:15,5.305,26.8213,47.1318,48.4942,6.1235,0.4647,0.2562,0.3078,55.7008,1,1,418
r2_measured_02171,cassandra-materialized,1,2,lr000001::conv-49_qa_27,lr000001::conv-49,lr000001::conv-49_session_5_D5:7,7.387,17.5581,34.1954,35.7388,14.3708,0.4772,0.2692,0.3038,,0,1,509
r2_measured_02180,cassandra-materialized,1,2,lr000001::conv-30_qa_76,lr000001::conv-30,lr000001::conv-30_session_15_D15:18,5.3688,38.746,64.8535,67.1534,16.418,0.9716,0.487,0.8119,85.9489,1,1,369
r2_measured_02182,cassandra-materialized,1,2,lr000010::conv-44_qa_113,lr000010::conv-44,lr000010::conv-44_session_25_D25:8,2.7332,13.2021,40.4103,42.7237,18.9097,0.6394,0.3777,0.3011,63.0164,1,1,675
r2_measured_02190,cassandra-materialized,1,2,lr000011::conv-26_qa_52,lr000011::conv-26,lr000011::conv-26_session_13_D13:4,8.2194,17.4653,33.6246,35.0901,12.8608,0.5049,0.4421,0.7926,49.7513,1,1,417
r2_measured_02202,cassandra-materialized,1,2,lr000011::conv-26_qa_105,lr000011::conv-26,lr000011::conv-26_session_7_D7:13,6.2957,17.1757,30.5302,32.1502,6.051,0.5703,0.3179,0.4218,,0,1,418
r2_measured_02230,cassandra-materialized,1,2,lr000004::conv-50_qa_35,lr000004::conv-50,lr000004::conv-50_session_17_D17:6,11.333,19.4475,41.9588,43.9136,7.0342,0.5653,0.3713,0.3415,52.2934,1,1,566
r2_measured_02293,cassandra-materialized,1,2,lr000009::conv-42_qa_59,lr000009::conv-42,lr000009::conv-42_session_15_D15:9,9.6295,20.7978,38.2423,41.2842,7.1605,0.63,0.4059,0.3295,,0,1,628
r2_measured_02324,cassandra-materialized,1,2,lr000013::conv-42_qa_91,lr000013::conv-42,lr000013::conv-42_session_9_D9:14,4.2074,13.8688,34.239,36.4481,10.9553,0.5798,0.3612,0.3269,48.7347,1,1,625
r2_measured_02331,cassandra-materialized,1,2,lr000015::conv-50_qa_27,lr000015::conv-50,lr000015::conv-50_session_16_D16:6,7.2691,16.9053,41.4456,43.7611,7.0832,0.5922,0.3657,0.3801,,0,1,568
r2_measured_02341,cassandra-materialized,1,2,lr000004::conv-47_qa_86,lr000004::conv-47,lr000004::conv-47_session_9_D9:18,6.813,17.9248,61.1433,64.3838,14.9212,0.7551,0.4989,0.4519,81.0981,1,1,687
r2_measured_02348,cassandra-materialized,1,2,lr000014::conv-47_qa_127,lr000014::conv-47,lr000014::conv-47_session_24_D24:4,6.9565,16.6289,39.2181,41.4932,14.2363,0.5637,0.4026,0.3263,57.0895,1,1,687
r2_measured_02378,cassandra-materialized,1,2,lr000007::conv-47_qa_100,lr000007::conv-47,lr000007::conv-47_session_15_D15:15,13.2994,21.5672,40.9543,43.3114,10.6904,0.6048,0.3934,0.3268,55.391,1,1,689
r2_measured_02384,cassandra-materialized,1,2,lr000008::conv-41_qa_94,lr000008::conv-41,lr000008::conv-41_session_13_D13:18,16.403,30.7015,51.6497,54.156,8.7077,0.5388,0.3527,0.3103,64.1261,1,1,662
r2_measured_02409,cassandra-materialized,1,2,lr000010::conv-50_qa_147,lr000010::conv-50,lr000010::conv-50_session_28_D28:34,20.2556,51.3803,82.206,84.1653,16.0175,0.5282,0.3139,0.3052,101.3867,1,1,568
