op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r2_measured_00050,cassandra-base,16,2,lr000010::conv-50_qa_124,lr000010::conv-50,lr000010::conv-50_session_23_D23:11,15.1853,98.8045,168.363,436.5076,56.1748,41.6648,6.5804,0.3773,541.3735,1,1,566
r2_measured_00069,cassandra-base,16,2,lr000000::conv-42_qa_34,lr000000::conv-42,lr000000::conv-42_session_3_D3:17,27.6375,50.9189,97.7981,409.0463,15.4266,30.7976,18.5774,0.4776,,0,1,626
r2_measured_00104,cassandra-base,16,2,lr000014::conv-49_qa_67,lr000014::conv-49,lr000014::conv-49_session_16_D16:24,8.2543,27.8201,66.3563,322.6207,7.3961,36.1126,2.4693,0.3898,369.0529,1,1,508
r2_measured_00142,cassandra-base,16,2,lr000005::conv-42_qa_180,lr000005::conv-42,lr000005::conv-42_session_25_D25:19,7.8113,18.1703,52.2724,406.3499,11.47,31.3082,3.1444,0.3375,452.6838,1,1,628
r2_measured_00147,cassandra-base,16,2,lr000000::conv-43_qa_113,lr000000::conv-43,lr000000::conv-43_session_12_D12:21,19.9897,35.688,81.3068,393.2502,13.6013,31.4365,3.4918,0.3105,,0,1,679
r2_measured_00165,cassandra-base,16,2,lr000014::conv-43_qa_174,lr000014::conv-43,lr000014::conv-43_session_28_D28:10,9.0225,26.8528,73.804,312.1421,14.4205,35.1435,0.7171,0.3227,362.8149,1,1,679
r2_measured_00166,cassandra-base,16,2,lr000011::conv-49_qa_66,lr000011::conv-49,lr000011::conv-49_session_16_D16:10,8.9134,43.0492,71.887,304.0609,14.5997,24.6572,1.824,0.3634,345.5687,1,1,509
r2_measured_00173,cassandra-base,16,2,lr000000::conv-47_qa_41,lr000000::conv-47,lr000000::conv-47_session_19_D19:12,31.1315,46.7072,95.8022,321.3443,33.8756,3.9492,0.4384,0.3444,,0,1,686
r2_measured_00182,cassandra-base,16,2,lr000014::conv-41_qa_111,lr000014::conv-41,lr000014::conv-41_session_19_D19:3,12.8521,26.305,72.6375,257.0553,31.1773,9.3731,1.3466,0.8444,299.8631,1,1,661
r2_measured_00216,cassandra-base,16,2,lr000002::conv-42_qa_140,lr000002::conv-42,lr000002::conv-42_session_17_D17:8,16.1325,32.0739,69.7175,73.3071,30.7854,38.9254,4.505,0.3905,,0,1,629
r2_measured_00237,cassandra-base,16,2,lr000012::conv-44_qa_1,lr000012::conv-44,lr000012::conv-44_session_1_D1:2,13.1111,46.9444,102.7522,489.9003,12.5815,101.862,1.3088,0.336,606.0568,1,1,672
r2_measured_00247,cassandra-base,16,2,lr000010::conv-48_qa_157,lr000010::conv-48,lr000010::conv-48_session_20_D20:21,34.2326,75.3721,131.8805,471.1275,8.2098,90.7232,2.0605,0.3393,572.539,1,1,680
r2_measured_00270,cassandra-base,16,2,lr000014::conv-49_qa_8,lr000014::conv-49,lr000014::conv-49_session_1_D1:14,15.917,42.3036,111.6433,333.4371,4.8709,12.9488,0.3686,0.3989,352.0888,1,1,509
r2_measured_00278,cassandra-base,16,2,lr000013::conv-42_qa_195,lr000013::conv-42,lr000013::conv-42_session_28_D28:29,13.5852,59.0355,112.4422,346.7228,8.9127,94.9988,1.3445,0.4508,,0,1,624
r2_measured_00280,cassandra-base,16,2,lr000011::conv-41_qa_44,lr000011::conv-41,lr000011::conv-41_session_25_D25:2,10.534,64.2236,113.9053,447.3384,14.4171,16.802,0.964,0.361,479.9566,1,1,662
r2_measured_00329,cassandra-base,16,2,lr000008::conv-44_qa_22,lr000008::conv-44,lr000008::conv-44_session_14_D14:1,7.3257,21.9295,93.1904,458.7311,12.052,27.4978,2.8236,0.3317,501.507,1,1,674
