op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r2_measured_00050,cassandra-materialized,8,2,lr000010::conv-50_qa_124,lr000010::conv-50,lr000010::conv-50_session_23_D23:11,6.6226,12.0398,43.4257,125.948,8.4605,10.0097,0.4446,0.3577,145.2844,1,1,566
r2_measured_00069,cassandra-materialized,8,2,lr000000::conv-42_qa_34,lr000000::conv-42,lr000000::conv-42_session_3_D3:17,5.8073,9.4028,45.252,105.0944,5.6373,24.29,1.8361,0.3346,,0,1,626
r2_measured_00104,cassandra-materialized,8,2,lr000014::conv-49_qa_67,lr000014::conv-49,lr000014::conv-49_session_16_D16:24,7.9754,11.1319,39.6556,102.7501,5.3254,10.9913,1.9875,0.3473,121.4592,1,1,508
r2_measured_00142,cassandra-materialized,8,2,lr000005::conv-42_qa_180,lr000005::conv-42,lr000005::conv-42_session_25_D25:19,9.8624,14.8487,141.8381,153.5518,12.5926,3.8241,0.5617,0.3472,170.9435,1,1,628
r2_measured_00147,cassandra-materialized,8,2,lr000000::conv-43_qa_113,lr000000::conv-43,lr000000::conv-43_session_12_D12:21,6.2898,102.9734,139.8398,145.7311,13.1553,5.444,0.9972,0.4371,,0,1,679
r2_measured_00165,cassandra-materialized,8,2,lr000014::conv-43_qa_174,lr000014::conv-43,lr000014::conv-43_session_28_D28:10,3.0301,29.2825,61.1121,71.5982,26.8917,9.7227,1.3603,0.3632,110.0025,1,1,679
r2_measured_00166,cassandra-materialized,8,2,lr000011::conv-49_qa_66,lr000011::conv-49,lr000011::conv-49_session_16_D16:10,3.4284,12.5942,61.0976,70.0477,26.6224,8.0831,0.6726,0.3744,105.8583,1,1,509
r2_measured_00173,cassandra-materialized,8,2,lr000000::conv-47_qa_41,lr000000::conv-47,lr000000::conv-47_session_19_D19:12,2.12,14.2044,47.4582,143.2545,11.9761,6.0342,0.7539,0.4162,,0,1,686
r2_measured_00182,cassandra-materialized,8,2,lr000014::conv-41_qa_111,lr000014::conv-41,lr000014::conv-41_session_19_D19:3,6.5042,11.4733,41.7735,98.0776,13.145,4.9274,2.0931,0.3384,118.6444,1,1,661
r2_measured_00216,cassandra-materialized,8,2,lr000002::conv-42_qa_140,lr000002::conv-42,lr000002::conv-42_session_17_D17:8,8.5678,17.9772,50.9782,174.855,3.7266,7.4187,0.403,0.3385,,0,1,629
r2_measured_00237,cassandra-materialized,8,2,lr000012::conv-44_qa_1,lr000012::conv-44,lr000012::conv-44_session_1_D1:2,6.2835,10.0994,42.0031,124.8101,7.6831,50.1781,1.5955,0.3692,184.7089,1,1,672
r2_measured_00247,cassandra-materialized,8,2,lr000010::conv-48_qa_157,lr000010::conv-48,lr000010::conv-48_session_20_D20:21,5.9572,8.1788,35.8115,78.7966,9.1297,8.5791,17.0878,1.1741,114.8731,1,1,680
r2_measured_00270,cassandra-materialized,8,2,lr000014::conv-49_qa_8,lr000014::conv-49,lr000014::conv-49_session_1_D1:14,5.6829,7.9256,47.5518,270.3827,7.4109,7.2379,1.2613,0.3729,286.7318,1,1,509
r2_measured_00278,cassandra-materialized,8,2,lr000013::conv-42_qa_195,lr000013::conv-42,lr000013::conv-42_session_28_D28:29,4.6035,8.8837,88.0083,263.0493,10.8342,20.5012,0.9488,0.4897,,0,1,624
