cell,concurrency,repetition,events,hits,fresh_hit_at_10,projection_ok_rate,time_to_top10_observations,stale_or_missed_top10_rate,fresh_hit_at_10_within_50ms,fresh_hit_at_10_within_100ms,fresh_hit_at_10_within_250ms,fresh_hit_at_10_within_500ms,fresh_hit_at_10_within_1000ms,commit_ms_p50,commit_ms_p95,commit_ms_p99,rawerk_visible_ms_p50,rawerk_visible_ms_p95,rawerk_visible_ms_p99,sparse_index_visible_ms_p50,sparse_index_visible_ms_p95,sparse_index_visible_ms_p99,dense_index_visible_ms_p50,dense_index_visible_ms_p95,dense_index_visible_ms_p99,backend_commit_ms_p50,backend_commit_ms_p95,backend_commit_ms_p99,structured_view_after_commit_ms_p50,structured_view_after_commit_ms_p95,structured_view_after_commit_ms_p99,sparse_index_update_ms_p50,sparse_index_update_ms_p95,sparse_index_update_ms_p99,dense_index_update_ms_p50,dense_index_update_ms_p95,dense_index_update_ms_p99,candidate_fetch_ms_p50,candidate_fetch_ms_p95,candidate_fetch_ms_p99,sparse_scoring_ms_p50,sparse_scoring_ms_p95,sparse_scoring_ms_p99,dense_scoring_ms_p50,dense_scoring_ms_p95,dense_scoring_ms_p99,zscore_fusion_ms_p50,zscore_fusion_ms_p95,zscore_fusion_ms_p99,retrieval_after_dense_ms_p50,retrieval_after_dense_ms_p95,retrieval_after_dense_ms_p99,end_to_end_attempt_ms_p50,end_to_end_attempt_ms_p95,end_to_end_attempt_ms_p99,time_to_top10_ms_p50_hits_only,time_to_top10_ms_p95_hits_only,time_to_top10_ms_p99_hits_only
neo4j-materialized,1,1,250,191,0.764,1.0,191,0.236,0.756,0.764,0.764,0.764,0.764,3.7155,5.1086,5.893,4.8469,6.395,7.452,23.8941,28.0691,30.547,26.1084,30.6726,33.2281,3.7155,5.1086,5.893,1.1339,1.47,1.7532,19.0753,22.7407,24.556,2.2485,2.6369,2.9776,11.8639,14.1372,14.8557,0.5986,0.725,0.7731,0.3899,0.4661,0.5037,0.3456,0.4032,0.4446,13.1962,15.6658,16.4824,39.5043,46.0421,48.3701,39.5393,46.1163,48.1594
neo4j-materialized,1,2,250,193,0.772,1.0,193,0.228,0.744,0.772,0.772,0.772,0.772,3.7307,4.878,5.6576,4.9007,6.1972,7.1261,24.721,29.6397,31.7286,27.2155,32.5698,34.9189,3.7307,4.878,5.6576,1.1741,1.5317,1.6942,19.8091,24.4853,25.7655,2.3388,3.1366,3.8169,12.245,14.9617,19.7452,0.6098,0.7422,0.8367,0.3958,0.4804,0.6006,0.3454,0.4132,0.5976,13.5884,16.439,22.0605,40.9395,49.0067,53.4825,41.2321,49.0525,53.122
neo4j-materialized,8,0,250,175,0.7,1.0,175,0.3,0.0,0.0,0.072,0.64,0.7,4.2464,5.9259,6.7527,6.5029,9.0636,10.7571,39.0297,65.7441,104.1074,94.353,154.6496,181.9484,4.2464,5.9259,6.7527,2.1718,3.7734,4.4277,32.4047,55.0498,96.3276,53.8546,87.6345,118.0145,250.6409,400.3092,555.6668,3.4083,7.7441,9.7966,0.571,1.0844,1.5165,0.3876,0.5666,1.0791,254.3526,407.4261,565.989,356.1491,538.2163,734.0812,357.4261,539.2131,730.8768
neo4j-materialized,8,1,250,191,0.764,1.0,191,0.236,0.0,0.0,0.124,0.764,0.764,4.1456,5.698,10.1283,6.3429,8.4333,12.4451,32.8245,63.8612,82.4852,85.1464,120.9797,137.3223,4.1456,5.698,10.1283,2.0756,3.3928,4.7546,26.4044,56.5269,75.0896,50.6057,71.5554,85.7498,237.4624,293.2416,319.6287,3.1795,6.2655,8.8807,0.5267,0.8651,1.1488,0.3671,0.4374,0.5386,242.2239,298.876,324.7205,331.1938,390.5112,417.4407,331.0671,397.6487,420.2452
neo4j-materialized,8,2,250,193,0.772,1.0,193,0.228,0.0,0.0,0.092,0.772,0.772,3.839,4.8989,5.7542,6.0039,7.5866,17.9186,32.4989,70.5233,76.7886,85.3066,117.6623,135.321,3.839,4.8989,5.7542,2.1097,3.3817,7.7638,26.1807,64.9696,70.4759,51.0392,70.0171,82.3631,231.0652,286.839,307.5855,3.0427,6.4933,8.0786,0.4939,0.7446,1.1131,0.3497,0.425,0.4815,235.4654,292.4466,311.8137,326.7547,390.1007,409.205,327.2555,394.7122,408.8468
neo4j-materialized,16,0,250,175,0.7,1.0,175,0.3,0.0,0.0,0.0,0.104,0.7,4.4765,6.318,7.32,7.8471,11.3354,29.882,38.4382,81.6383,90.8268,146.0361,200.3512,217.1641,4.4765,6.318,7.32,3.3127,5.8186,22.1705,30.309,71.0419,80.7167,105.5117,145.7169,166.1712,495.7428,587.8304,639.0823,5.996,12.5504,16.5507,0.5595,1.0377,1.5877,0.3629,0.4378,0.492,503.8901,595.6475,645.2627,653.4941,769.5793,802.3727,657.3371,768.9754,839.2611
neo4j-materialized,16,1,250,191,0.764,1.0,191,0.236,0.0,0.0,0.0,0.0,0.072,23.7876,34.91,38.9065,33.054,52.0506,101.8952,117.5778,248.9008,321.2551,365.8713,665.4086,775.4193,23.7876,34.91,38.9065,8.8207,19.8685,42.547,87.5357,185.2927,274.5734,241.6186,478.4298,536.6018,1155.4222,2133.7642,2323.3859,14.5119,37.6002,49.4614,1.4761,3.5451,4.89,1.1949,1.9839,2.591,1168.9502,2167.9597,2348.5043,1532.0067,2757.3738,2981.1077,1534.3166,2757.3661,3063.5435
neo4j-materialized,16,2,250,193,0.772,1.0,193,0.228,0.0,0.0,0.0,0.088,0.772,4.4134,6.0517,10.0991,8.0575,10.8154,15.4976,39.4651,81.0935,92.7001,153.9117,205.4636,224.8095,4.4134,6.0517,10.0991,3.4931,5.3293,6.8528,31.2094,73.3832,84.7547,112.6628,148.4142,166.5868,507.0565,614.1201,683.9726,6.1758,12.1868,16.5715,0.5983,1.2508,2.0208,0.3621,0.4419,0.5851,516.41,621.8154,689.8405,673.4263,801.4644,867.7793,678.5129,799.857,862.8522
neo4j-materialized,32,0,250,175,0.7,1.0,175,0.3,0.0,0.0,0.0,0.0,0.104,5.4729,8.3386,16.8628,11.136,16.7001,55.3084,49.1778,95.4096,111.1903,273.0217,342.1989,364.9402,5.4729,8.3386,16.8628,5.6375,9.5332,35.6773,37.6326,78.5187,101.9261,219.8774,276.9448,294.1053,1011.0112,1147.0532,1198.3405,11.0379,22.6439,33.8477,0.7339,1.8852,2.9793,0.3648,0.4846,0.9247,1023.3768,1161.245,1211.4767,1305.9171,1485.8872,1550.0416,1321.9023,1488.8606,1564.2623
neo4j-materialized,32,1,250,191,0.764,1.0,191,0.236,0.0,0.0,0.0,0.0,0.112,6.3114,10.6618,63.7718,13.0292,23.9526,70.9671,54.3747,104.3558,129.2392,300.5658,392.4857,424.4683,6.3114,10.6618,63.7718,6.4929,11.5986,21.8531,40.4145,87.7318,101.6407,243.449,316.4527,354.9774,1108.0427,1315.021,1406.0132,12.2303,25.8077,39.2062,0.8196,1.8988,2.6657,0.385,0.4697,0.5895,1121.5372,1334.0003,1422.8857,1443.8642,1681.6862,1754.1396,1444.8642,1671.7109,1711.6112
neo4j-materialized,32,2,250,193,0.772,1.0,193,0.228,0.0,0.0,0.0,0.0,0.108,5.5591,8.2589,9.5744,11.5946,16.8618,18.6463,50.2972,92.9045,112.2679,282.5117,356.0024,393.1158,5.5591,8.2589,9.5744,5.7527,9.702,11.4765,38.7527,81.187,96.664,227.5357,296.6633,320.8343,1028.1836,1192.5837,1310.2335,10.9717,20.5403,32.458,0.7381,1.7723,2.5557,0.3655,0.4478,0.5863,1046.1525,1210.117,1319.5964,1337.8468,1524.728,1623.7242,1343.6495,1527.3334,1626.2791
neo4j-materialized,64,0,250,175,0.7,1.0,175,0.3,0.0,0.0,0.0,0.0,0.0,8.759,15.9678,27.3745,19.7627,34.6861,54.7051,72.7645,139.5514,163.9176,551.9378,684.492,932.3569,8.759,15.9678,27.3745,10.8189,19.0461,37.5755,52.4543,120.0719,139.1872,465.1203,581.019,727.9746,2100.1035,2418.9998,3958.1239,21.7308,44.0269,60.8528,1.0423,3.6453,5.7774,0.376,0.6976,1.1292,2128.1968,2457.9529,3986.2861,2700.8354,3057.0394,4761.5235,2713.6128,3076.8564,4975.4725
neo4j-materialized,64,1,250,191,0.764,1.0,191,0.236,0.0,0.0,0.0,0.0,0.0,10.2221,19.7376,35.6386,23.1915,48.2076,82.4958,85.8492,165.2447,202.895,588.7984,747.2327,1034.9315,10.2221,19.7376,35.6386,12.7814,26.3056,63.6472,61.803,121.4555,157.2595,494.0561,653.6748,892.4462,2275.9176,2842.7687,3221.1494,21.9096,47.8163,63.9935,1.0993,4.0709,5.6815,0.3872,0.5136,1.038,2303.2873,2858.325,3264.3417,2892.1566,3577.0946,4124.7556,2890.3141,3524.6016,4176.3421
neo4j-materialized,64,2,250,193,0.772,1.0,193,0.228,0.0,0.0,0.0,0.0,0.0,8.7307,14.8955,30.0032,19.995,31.6189,55.2215,73.2508,129.6307,147.2817,533.4693,640.1689,701.5777,8.7307,14.8955,30.0032,11.0298,18.5998,25.9981,52.4315,107.8966,125.6837,454.7704,555.3366,595.8488,2035.7207,2298.657,2429.1553,19.693,47.7114,67.1047,0.9558,2.7413,4.3185,0.3624,0.4525,0.7007,2058.6708,2327.1484,2453.2014,2597.1784,2939.7074,3030.1425,2612.619,2956.5545,3021.4532
