representation,index_build_seconds,avg_query_latency_ms,p50_query_latency_ms,p95_query_latency_ms
Raw,0.04740439998568036,0.7701891553043932,0.74970000423491,1.1857350065838546
Summary,0.01391090001561679,0.4921484413532564,0.49000000581145287,0.7049850115436128
RawSummary,0.05346669998834841,0.7472929222147924,0.7295499963220209,1.1361450058757325
Triples,0.015461000002687797,0.5527635070936778,0.5519500118680298,0.7718999986536801
RawTriples,0.05292709998320788,0.8235802600128491,0.8009500015759841,1.2606300224433653
ERKOnly,0.03021310002077371,0.5963699350529653,0.5950499908067286,0.8315349870827048
RawERK,0.06334899997455068,0.7747064932520115,0.7513500022469088,1.1675199843011796
