category,n_questions,pct_entity_anchor,pct_relation_anchor,pct_temporal,pct_any_kg_candidate,avg_entity_anchors,avg_relation_anchors,avg_kg_candidates
cat1,282,1.0,0.09219858156028368,0.031914893617021274,0.9964539007092199,4.333333333333333,0.09219858156028368,144.50709219858157
cat2,321,1.0,0.018691588785046728,0.12149532710280374,1.0,4.43613707165109,0.018691588785046728,135.06542056074767
cat3,96,1.0,0.010416666666666666,0.020833333333333332,0.9791666666666666,5.541666666666667,0.010416666666666666,152.64583333333334
cat4,841,1.0,0.028537455410225922,0.09155766944114149,0.9988109393579072,5.406658739595719,0.029726516052318668,146.474435196195
