method,n,R@1@10,R@1@50,R@1@100,R@1@200,R@10,MRR,cand_recall@10,cand_recall@50,cand_recall@100,cand_recall@200
KG-Native,1540,0.15844155844155844,0.15844155844155844,0.15844155844155844,0.15844155844155844,0.36168831168831167,0.22155483405483406,0.36168831168831167,0.5402597402597402,0.698051948051948,0.8298701298701299
KG-candidate-only,1540,0.014935064935064935,0.014935064935064935,0.014935064935064935,0.014935064935064935,0.07662337662337662,0.02953102453102453,0.07662337662337662,0.3512987012987013,0.6376623376623377,0.8376623376623377
BM25,1540,0.03896103896103896,0.03896103896103896,0.03896103896103896,0.03896103896103896,0.06688311688311688,0.04847016079158936,0.06688311688311688,0.06688311688311688,0.06688311688311688,0.06688311688311688
Dense-bge,1540,0.36688311688311687,0.36688311688311687,0.36688311688311687,0.36688311688311687,0.711038961038961,0.47381545042259327,0.711038961038961,0.711038961038961,0.711038961038961,0.711038961038961
GlobalKG-Prior,1540,0.37012987012987014,0.37012987012987014,0.37012987012987014,0.37012987012987014,0.7136363636363636,0.4767903525046382,0.7136363636363636,0.7136363636363636,0.7136363636363636,0.7136363636363636
