method,cand_recall@10,cand_recall@50,cand_recall@100,cand_recall@200,n
KG-Native,0.36168831168831167,0.5402597402597402,0.698051948051948,0.8298701298701299,1540
KG-candidate-only,0.07662337662337662,0.3512987012987013,0.6376623376623377,0.8376623376623377,1540
BM25,0.06688311688311688,0.06688311688311688,0.06688311688311688,0.06688311688311688,1540
Dense-bge,0.711038961038961,0.711038961038961,0.711038961038961,0.711038961038961,1540
GlobalKG-Prior,0.7136363636363636,0.7136363636363636,0.7136363636363636,0.7136363636363636,1540
