path,match_count,status,recommendation
03_src\memory\sysaxis\1m_concurrency\resume_warm.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\1m_hop_depth\hop_cold_sweep.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\1m_hop_depth\hop_depth_preflight.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\1m_hop_depth\hop_smoke.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\1m_hop_depth\hop_warm_sweep.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\1m_hop_depth\semantic_gates.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\1m_write_ratio\neo4j_scale_import.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\1m_write_ratio\sysaxis_cold_sweep.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\1m_write_ratio\sysaxis_smoke.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\1m_write_ratio\sysaxis_warm_sweep.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\scale_sweep\generate_sysaxis_final.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\scale_sweep\gen_cat_xlsx.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\scale_sweep\graph_discovery.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\scale_sweep\graph_integrity_check.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\scale_sweep\scale_100k_legacy_clean.py,4,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\scale_sweep\scale_100k_legacy_clean_fixed.py,4,REFACTOR,derive project root from __file__ or accept a CLI/config path
03_src\memory\sysaxis\scale_sweep\table_inventory.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\run_p3_raw_representations.py,5,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\run_p5_1_v2.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\run_p5_2_hot.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\run_p5_3a_smoke.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\run_p5_3b_burst.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\run_p5_3c_restart.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\locomo_workload\audit_neo4j_fairness.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\locomo_workload\run_100k_load_gate.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\locomo_workload\run_100k_workload.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\locomo_workload\run_canonical_live_gate.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\locomo_workload\run_freshness_gate.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\locomo_workload\run_graph_100k_load_gate_v2.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\locomo_workload\run_graph_canonical_gate_v2.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\locomo_workload\run_graph_top10_parity_v2.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\p5_1_v3\capture_environment.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\p5_1_v3\run_p5_1_v3.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\p5_3c\run_p5_3c_restart_only.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\reader\run_llm_judge_gpt4o_mem0_protocol.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
04_experiments\retrieval\crop_reader_main_preview.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
05_reports\backend_equivalence\cassandra_import.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
05_reports\backend_equivalence\neo4j_import.py,2,REFACTOR,derive project root from __file__ or accept a CLI/config path
05_reports\backend_equivalence\test_neo4j.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
05_reports\backend_system_eval\p7b_benchmark.py,4,REFACTOR,derive project root from __file__ or accept a CLI/config path
05_reports\evaluator_input_audit\evaluator_sources\reader_f1_memory_only_v2.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
05_reports\p1c_code_handoff\run_p1c_ablation_v4.py,1,REFACTOR,derive project root from __file__ or accept a CLI/config path
05_reports\p4_full5\run_canonical_cache_resolution.py,7,REFACTOR,derive project root from __file__ or accept a CLI/config path
05_reports\p4_full5\run_p4_full5.py,7,REFACTOR,derive project root from __file__ or accept a CLI/config path
