memory_id,user_id,sample_id,session_id,dia_id,speaker,text,timestamp
conv-26_session_1_D1:1,conv-26,conv-26,session_1,D1:1,Caroline,Hey Mel! Good to see you! How have you been?,"1:56 pm on 8 May, 2023"
conv-26_session_1_D1:2,conv-26,conv-26,session_1,D1:2,Melanie,Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you? Anything new?,"1:56 pm on 8 May, 2023"
