method,formula,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
RawScore,0.9*Dense + 0.1*BM25 (unnormalized),1146,0.47053000083104757,0.36300174520069806,0.6134380453752182,0.693717277486911,0.6274959921759398,0.4911515016283525
Equal-RRF,"0.5 RRF(Dense) + 0.5 RRF(BM25), k=10",1146,0.5260135322308094,0.40575916230366493,0.6884816753926701,0.7888307155322862,0.7183000542251184,0.5509204412268223
Weighted-RRF,"0.6 RRF(Dense) + 0.4 RRF(BM25), k=10",1146,0.5247576110141553,0.3961605584642234,0.7033158813263525,0.7949389179755671,0.7255076008960161,0.5531325253374001
MinMax,0.6 minmax(Dense) + 0.4 minmax(BM25),1146,0.5446747139809965,0.41972076788830714,0.7120418848167539,0.8071553228621291,0.7348996058170922,0.5704488591039701
ZScore,0.6 z(Dense) + 0.4 z(BM25),1146,0.5498223635003742,0.42408376963350786,0.7137870855148342,0.81239092495637,0.73964007331934,0.5754605316110719
