variant,n,R@1,R@5,R@10,MRR
Raw,1150,0.24869565217391304,0.4617391304347826,0.548695652173913,0.34394927536231884
RawE,1150,0.3026086956521739,0.5313043478260869,0.6008695652173913,0.40167253278122844
RawR,1150,0.2782608695652174,0.4973913043478261,0.5765217391304348,0.3748474810213941
RawK,1150,0.3017391304347826,0.5382608695652173,0.6026086956521739,0.4036552795031056
RawER,1150,0.3173913043478261,0.5495652173913044,0.6147826086956522,0.4177456866804693
RawEK,1150,0.3217391304347826,0.5452173913043479,0.6173913043478261,0.4222933057280883
RawRK,1150,0.3182608695652174,0.5521739130434783,0.6165217391304347,0.4197149758454106
RawERK,1150,0.33217391304347826,0.5617391304347826,0.6313043478260869,0.4350693581780538
RawERKT,1150,0.3660869565217391,0.5826086956521739,0.6478260869565218,0.4607670807453416
