variant,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
Raw,1146,0.5107918501897561,0.3769633507853403,0.6884816753926701,0.787085514834206,0.7152180940096503,0.540853338779367
RawE,1146,0.5348354525056099,0.4083769633507853,0.7068062827225131,0.8010471204188482,0.7300599493619772,0.5625956156585263
RawR,1146,0.5216107094379345,0.387434554973822,0.6972076788830716,0.7993019197207679,0.7265411223483854,0.5516428656485973
RawK,1146,0.5321934125599048,0.4048865619546248,0.7006980802792321,0.7984293193717278,0.7282206447046865,0.5606133188518362
RawER,1146,0.5461325105958613,0.4179755671902269,0.7181500872600349,0.8071553228621291,0.7343753845467978,0.5714915919590814
RawEK,1146,0.542249092772653,0.4179755671902269,0.7137870855148342,0.8054101221640488,0.7333176573317269,0.5685541377137372
RawRK,1146,0.5419014377129558,0.4162303664921466,0.7068062827225131,0.806282722513089,0.7353246381345192,0.5689815841416531
RawERK,1146,0.5498223635003742,0.42408376963350786,0.7137870855148342,0.81239092495637,0.73964007331934,0.5754605316110719
RawERKT,1146,0.5623472949389181,0.43804537521815007,0.725130890052356,0.8211169284467714,0.7474789331215506,0.5858370642999137
