effect,factors,MRR,R@10
E_main,E,0.01637474120082813,0.00847826086956524
R_main,R,0.009728088336783958,0.008478260869565268
K_main,K,0.013312456866804712,0.006739130434782636
E_x_R,E*R,-0.0002822636300897352,-0.0015217391304347683
E_x_K,E*K,-0.007823498964803305,-0.0023913043478260565
R_x_K,R*K,-0.0012914078674948204,-0.0006521739130435078
E_x_R_x_K,E*R*K,-0.0005205314009661677,0.0015217391304347683
