variant,n,R@1,R@5,R@10,MRR
Raw,1150,0.37478260869565216,0.6834782608695652,0.7817391304347826,0.5072760524499655
RawE,1150,0.40608695652173915,0.7017391304347826,0.7956521739130434,0.5312360248447205
RawR,1150,0.38521739130434784,0.6921739130434783,0.7939130434782609,0.5180572808833679
RawK,1150,0.40347826086956523,0.6956521739130435,0.7930434782608695,0.5291828847481022
RawER,1150,0.4156521739130435,0.7130434782608696,0.8017391304347826,0.5424937888198758
RawEK,1150,0.4156521739130435,0.7086956521739131,0.7991304347826087,0.5385369220151829
RawRK,1150,0.41391304347826086,0.7017391304347826,0.8008695652173913,0.5384223602484473
RawERK,1150,0.4217391304347826,0.7086956521739131,0.8069565217391305,0.5461708074534162
RawERKT,1150,0.4356521739130435,0.72,0.8147826086956522,0.5587101449275362
