alpha_dense,split,category,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
0.0,dev,1,58,0.2552613574165298,0.13793103448275862,0.43103448275862066,0.5172413793103449,0.2686918445539135,0.21102640646284326
0.0,dev,2,82,0.5908536585365853,0.524390243902439,0.6829268292682927,0.6951219512195121,0.6788617886178863,0.606502465702294
0.0,dev,3,21,0.29894179894179895,0.23809523809523808,0.38095238095238093,0.42857142857142855,0.36904761904761907,0.30256695146606855
0.0,dev,4,229,0.462225341373813,0.36681222707423583,0.5938864628820961,0.6724890829694323,0.6499272197962155,0.49934760881350415
0.0,test,1,224,0.2612262613378685,0.16517857142857142,0.3794642857142857,0.47767857142857145,0.2705495475702243,0.20968465793626997
0.0,test,2,239,0.5581141661685594,0.45188284518828453,0.6736401673640168,0.7322175732217573,0.6956066945606694,0.5810483742779917
0.0,test,3,71,0.22705119606528057,0.14084507042253522,0.30985915492957744,0.38028169014084506,0.24506665662423738,0.195267055954574
0.0,test,4,612,0.48308564166407286,0.3758169934640523,0.6225490196078431,0.6895424836601307,0.6838235294117647,0.528850197402115
0.1,dev,1,58,0.31546250684181715,0.20689655172413793,0.46551724137931033,0.5862068965517241,0.32048440065681444,0.2557026223078596
0.1,dev,2,82,0.5884146341463414,0.5121951219512195,0.6951219512195121,0.6951219512195121,0.6788617886178863,0.6050409123967714
0.1,dev,3,21,0.3152683295540438,0.23809523809523808,0.42857142857142855,0.5238095238095238,0.42857142857142855,0.3292693705002242
0.1,dev,4,229,0.47334511679489855,0.37117903930131,0.6200873362445415,0.6899563318777293,0.6717612809315866,0.5129851402669564
0.1,test,1,224,0.2935356434240363,0.19196428571428573,0.42410714285714285,0.5223214285714286,0.3175327726784494,0.2437553838157105
0.1,test,2,239,0.5835790662150494,0.4895397489539749,0.6861924686192469,0.7489539748953975,0.7102510460251045,0.6020432820566988
0.1,test,3,71,0.250760116253074,0.16901408450704225,0.3380281690140845,0.4507042253521127,0.31314177399512944,0.22742148353450237
