Method,boost,R@1,R@5,R@10,MRR
TF-IDF baseline,0.0,0.19284994964753274,0.37613293051359514,0.459214501510574,0.2708213446506498
+KG boost=0.25,0.25,0.2628398791540785,0.4425981873111782,0.501007049345418,0.33867549033712174
+KG boost=0.50,0.5,0.2638469284994965,0.43554884189325277,0.48992950654582074,0.3358385683914385
+KG boost=1.00,1.0,0.2633434038267875,0.4350453172205438,0.48892245720040284,0.33510705893636406
Neo4j boost=0.5,0.5,0.2512588116817724,0.4118831822759315,0.4692849949647533,0.31981329624834154
