backend,concurrency,run_id,formal_events,successful_events,timeouts,elapsed_s,throughput_events_s,p50_update_to_topk_ms,p95_update_to_topk_ms,p99_update_to_topk_ms,mean_candidate_count,logical_event_sha256
cassandra,8,1,100,100,0,0.4109708999749273,243.3262306555059,28.589899884536862,47.900599893182516,48.93759987317026,24.02,b79deafc16f7ca60dfc589181b739200d0dcb93c4ee4ccbf1b9a669b686faab4
neo4j,8,1,100,100,0,0.6198919001035392,161.31844920589737,46.9219998922199,65.37199998274446,121.6219998896122,24.05,b79deafc16f7ca60dfc589181b739200d0dcb93c4ee4ccbf1b9a669b686faab4
cassandra,32,1,100,100,0,0.2301354999653995,434.5266159068672,66.99830014258623,80.68689983338118,83.81650014780462,25.56,78d2edab396367bb8c6aa3a95af7ffc59bd3bf1e3fc45dae3b4ae9ee34ba12e3
neo4j,32,1,100,100,0,0.44312110007740557,225.67194381520477,130.71350008249283,171.8927000183612,183.45579993911088,24.38,78d2edab396367bb8c6aa3a95af7ffc59bd3bf1e3fc45dae3b4ae9ee34ba12e3
