system,hop,n,median_QPS,median_mean_ms,median_p50_ms,median_p95_ms,median_p99_ms,median_round_trips_mean,median_round_trips_p95,median_raw_rows_mean,median_raw_rows_p95,median_result_paths_mean,median_result_paths_p95,min_QPS,max_QPS,IQR_QPS,median_error_rate
cassandra_opt,1,5,1406.498,5.687,3.939,15.812,24.016,1.0,1.0,21.5,20.0,2.0,4.0,1306.76,1507.696,120.359,0.0
cassandra_opt,2,5,520.775,15.362,12.132,32.69,51.849,3.5,3.0,88.9,60.0,4.6,20.0,497.039,533.143,19.469,0.0
cassandra_opt,3,5,274.977,29.104,24.903,57.895,79.355,7.5,8.0,170.8,120.0,6.8,26.0,206.598,298.086,22.903,0.0
cassandra_opt,4,5,137.931,58.018,49.059,112.954,150.911,15.4,12.0,366.8,180.0,12.5,58.0,132.087,151.063,14.485,0.0
neo4j,1,5,1747.753,4.576,4.249,7.042,9.475,1.0,1.0,2.0,2.0,2.0,4.0,1668.181,1897.534,27.857,0.0
neo4j,2,5,482.439,16.586,12.797,34.178,111.759,3.5,3.0,8.0,6.0,4.6,20.0,463.464,485.708,3.24,0.0
neo4j,3,5,217.264,36.829,29.546,79.437,225.522,7.5,5.0,14.9,5.0,6.8,26.0,213.083,246.933,10.978,0.0
neo4j,4,5,107.599,74.411,44.742,268.325,455.13,15.8,20.0,31.4,31.0,12.5,58.0,100.91,115.777,4.293,0.0
