cell,concurrency,repetition,update_rate_s,read_rate_s,op_id,qa_id,scope_id,target_memory_id,queue_wait_ms,worker_start_to_raw_commit_ms,raw_write_call_ms,raw_ack_to_structured_ms,structured_to_index_ms,index_to_ranking_ms,t_commit_ms,t_structured_view_visible_ms,t_index_visible_ms,pipeline_complete_ms,time_to_top10_ms,final_hit_at_10,structured_projection_ok,relation_candidate_ok,sparse_index_applied,dense_index_applied,sparse_index_visible,dense_index_visible,timeout_5000ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,fresh_hit_at_10_50ms,pipeline_visible_50ms,fresh_hit_at_10_100ms,pipeline_visible_100ms,fresh_hit_at_10_250ms,pipeline_visible_250ms,fresh_hit_at_10_500ms,pipeline_visible_500ms,fresh_hit_at_10_1000ms,pipeline_visible_1000ms,fresh_hit_at_10_2000ms,pipeline_visible_2000ms
neo4j-materialized,32,0,1.0,19.0,r0_measured_00015,lr000007::conv-48_qa_116,lr000007::conv-48,lr000007::conv-48_session_7_D7:20,0.0578,17.4927,17.4906,150.8588,22.8975,26.8049,17.5505,168.4093,191.3068,218.1117,218.1117,1,1,1,1,1,1,1,0,0.7107,0.7419,0.3335,0,0,0,0,1,1,1,1,1,1,1,1
neo4j-materialized,32,0,1.0,19.0,r0_measured_00024,lr000010::conv-30_qa_60,lr000010::conv-30,lr000010::conv-30_session_9_D9:5,0.1954,17.5452,17.5431,47.0435,14.1307,10.7994,17.7406,64.7841,78.9148,89.7142,,0,1,1,1,1,1,1,0,0.4812,0.2535,0.3442,0,0,0,1,0,1,0,1,0,1,0,1
