backend,concurrency,run_id,formal_events,successful_events,timeouts,elapsed_s,throughput_events_s,p50_update_to_topk_ms,p95_update_to_topk_ms,p99_update_to_topk_ms,mean_candidate_count,logical_event_sha256
cassandra,2,1,8,8,0,0.1821069000288844,43.930240966877705,55.547500029206276,58.674100087955594,58.674100087955594,11.5,0c3691bb964f5fbfd0b3c3265dfec5b9629d730d4ccfb2d1b234460038fa07f4
neo4j,2,1,8,8,0,0.6341214999556541,12.615878819058276,59.286999981850386,421.62670008838177,421.62670008838177,11.5,0c3691bb964f5fbfd0b3c3265dfec5b9629d730d4ccfb2d1b234460038fa07f4
