protocol_version,retriever_id,backend,concurrency,formal_events,successful_events,timeouts,p50_update_to_topk_ms,p95_update_to_topk_ms,p99_update_to_topk_ms,p50_update_to_commit_ms,p95_update_to_commit_ms,p99_update_to_commit_ms,mean_candidate_count,mean_target_rank
p5-1-logical-event-v3.1,shared-rawerk-bm25-fixed-cohort-top10-v1,cassandra,8,6000,6000,0,29.26419978030026,55.607200134545565,124.38370008021593,4.728999920189381,10.405699955299497,18.196499906480312,33.0,1.0
p5-1-logical-event-v3.1,shared-rawerk-bm25-fixed-cohort-top10-v1,cassandra,32,6000,6000,0,85.62460006214678,201.3839001301676,252.9450999572873,14.403400011360645,23.93070003017783,123.36759991012514,33.0,1.0
p5-1-logical-event-v3.1,shared-rawerk-bm25-fixed-cohort-top10-v1,cassandra,64,6000,6000,0,173.0454999487847,355.5261001456529,385.89300005696714,28.653299901634455,61.021699802950025,207.19810016453266,33.0,1.0
p5-1-logical-event-v3.1,shared-rawerk-bm25-fixed-cohort-top10-v1,neo4j,8,6000,6000,0,47.318599885329604,66.31430005654693,84.44929984398186,12.051999801769853,23.267499869689345,31.572400126606226,33.0,1.0
p5-1-logical-event-v3.1,shared-rawerk-bm25-fixed-cohort-top10-v1,neo4j,32,6000,6000,0,195.32099994830787,284.7861999180168,331.09490014612675,31.26579988747835,58.77549992874265,93.48310017958283,33.0,1.0
p5-1-logical-event-v3.1,shared-rawerk-bm25-fixed-cohort-top10-v1,neo4j,64,6000,6000,0,402.92109991423786,561.8603001348674,637.3253001365811,58.10359981842339,115.0827999226749,182.9246999695897,33.0,1.0
