run_id,system,graph_id,write_graph_id,clients,hop,fanout,cycle_policy,target_write_ratio,actual_write_ratio,repeat,mode,cold_mode,warmup_seconds,measurement_seconds,completed_reads,completed_writes,read_QPS,write_QPS,total_ops_QPS,read_mean_ms,read_p50_ms,read_p95_ms,read_p99_ms,write_mean_ms,write_p50_ms,write_p95_ms,write_p99_ms,read_error_count,write_error_count,total_error_rate,cache_enabled,cache_hit_rate,effective_latency_ms,frontier_workers,relation_index_enabled,backend_state,read_hash_spotcheck_passed,write_validation_passed,logical_writes_validated,physical_writes_per_logical_write
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w10_r3_cold_20260708,32,2,20,path,10,10.0,3,cold,process_cold,0,45.0,18672,2076,414.933,46.133,461.067,72.804,62.625,140.192,173.639,39.522,35.27,99.175,115.881,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w30_r5_cold_20260708,32,2,20,path,30,30.0,5,cold,process_cold,0,45.0,16418,7034,364.844,156.311,521.156,68.382,58.212,138.507,171.186,45.326,40.318,109.225,125.086,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w10_r4_cold_20260708,32,2,20,path,10,10.0,4,cold,process_cold,0,45.0,17698,1968,393.289,43.733,437.022,76.622,64.735,153.402,204.702,43.13,36.634,99.245,139.245,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w10_r4_cold_20260708,32,2,20,path,10,10.0,4,cold,process_cold,0,45.0,14726,1636,327.244,36.356,363.6,96.422,66.974,259.482,696.702,14.415,12.322,29.952,45.952,0,0,0.0,False,,,0,False,process_cold,True,True,20/20,1
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w10_r5_cold_20260708,32,2,20,path,10,10.0,5,cold,process_cold,0,45.0,16650,1847,370.0,41.044,411.044,84.703,64.564,185.447,562.374,16.62,14.982,28.204,38.053,0,0,0.0,False,,,0,False,process_cold,True,True,20/20,1
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w10_r5_cold_20260708,32,2,20,path,10,10.0,5,cold,process_cold,0,45.0,26483,2940,588.511,65.333,653.844,51.249,45.807,87.001,105.366,28.338,25.871,56.429,66.61,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w30_r1_cold_20260708,32,2,20,path,30,30.0,1,cold,process_cold,0,45.0,17915,7672,398.111,170.489,568.6,75.644,55.662,187.894,503.536,11.389,10.812,18.655,27.624,0,0,0.0,False,,,0,False,process_cold,True,True,20/20,1
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w30_r1_cold_20260708,32,2,20,path,30,30.0,1,cold,process_cold,0,45.0,23427,10031,520.6,222.911,743.511,48.127,42.703,83.412,103.708,31.266,28.739,60.001,69.681,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w30_r2_cold_20260708,32,2,20,path,30,30.0,2,cold,process_cold,0,45.0,17261,7398,383.578,164.4,547.978,78.468,57.094,195.106,521.759,11.982,11.251,20.137,28.815,0,0,0.0,False,,,0,False,process_cold,True,True,20/20,1
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w30_r2_cold_20260708,32,2,20,path,30,30.0,2,cold,process_cold,0,45.0,18614,7973,413.644,177.178,590.822,61.003,54.604,108.015,134.19,38.502,35.29,75.347,92.368,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w30_r3_cold_20260708,32,2,20,path,30,30.0,3,cold,process_cold,0,45.0,15445,6607,343.222,146.822,490.044,87.767,63.216,222.326,606.327,13.106,12.262,21.872,32.887,0,0,0.0,False,,,0,False,process_cold,True,True,20/20,1
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w30_r3_cold_20260708,32,2,20,path,30,30.0,3,cold,process_cold,0,45.0,19735,8469,438.556,188.2,626.756,57.315,50.53,99.341,129.187,36.559,33.424,70.597,87.141,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w30_r4_cold_20260708,32,2,20,path,30,30.0,4,cold,process_cold,0,45.0,14073,6030,312.733,134.0,446.733,96.458,67.856,251.512,680.775,14.154,13.218,24.623,33.918,0,0,0.0,False,,,0,False,process_cold,True,True,20/20,1
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w30_r4_cold_20260708,32,2,20,path,30,30.0,4,cold,process_cold,0,45.0,19855,8504,441.222,188.978,630.2,56.819,50.289,100.733,129.799,36.788,33.374,70.463,89.526,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
20260708,neo4j,c3_scale_1M_seed42,sysaxis1m_write_sink_neo4j_w30_r5_cold_20260708,32,2,20,path,30,30.0,5,cold,process_cold,0,45.0,14284,6118,317.422,135.956,453.378,94.98,67.056,238.373,664.807,13.784,12.851,24.147,33.775,0,0,0.0,False,,,0,False,process_cold,True,True,20/20,1
20260708,cassandra,c3_scale_1M_seed42,sysaxis1m_write_sink_cassandra_w30_r5_cold_20260708,32,2,20,path,30,30.0,5,cold,process_cold,0,45.0,20716,8874,460.356,197.2,657.556,54.498,48.187,95.812,119.796,35.109,32.007,65.092,80.854,0,0,0.0,False,,,16,False,process_cold,True,True,20/20,4
