prior_type,selected_on,kg_lambda,split,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
binary_coverage,dev MRR@10,0.2,dev,390,0.4924704924704925,0.38974358974358975,0.6333333333333333,0.7076923076923077,0.6466422466422466,0.5091371214777054
binary_coverage,dev MRR@10,0.2,test,1146,0.5228815202637191,0.40924956369982546,0.6788830715532286,0.7766143106457243,0.7055719236098287,0.5462067760674124
binary_coverage,dev MRR@10,0.2,all,1536,0.5151599702380959,0.404296875,0.6673177083333334,0.7591145833333334,0.6906093103172785,0.5367945590817441
degree_centrality,dev MRR@10,0.2,dev,390,0.49189763939763936,0.3871794871794872,0.6333333333333333,0.7102564102564103,0.6492063492063491,0.5093075927073495
degree_centrality,dev MRR@10,0.2,test,1146,0.5235131167068338,0.41012216404886565,0.6780104712041884,0.7774869109947644,0.7064445239588688,0.5468841434526174
degree_centrality,dev MRR@10,0.2,all,1536,0.5154857494212968,0.404296875,0.6666666666666666,0.7604166666666666,0.6919113936506118,0.5373432223649508
